feature,element,pearson_r,p_value,abs_r
Blue_w1_mean,N_%,0.2724,0.0061,0.2724
Blue_w1_mean,P_%,-0.0124,0.9025,0.0124
Blue_w1_mean,K_%,0.0532,0.5992,0.0532
Blue_w1_mean,Ca_%,0.2887,0.0036,0.2887
Blue_w1_mean,Mg_%,-0.1197,0.2357,0.1197
Blue_w1_mean,S_%,0.1096,0.2777,0.1096
Blue_w1_mean,Нитраты_мг_кг,0.0474,0.6393,0.0474
Blue_w1_mean,Fe_мг_кг,-0.1051,0.2980,0.1051
Blue_w1_mean,Mn_мг_кг,-0.2017,0.0441,0.2017
Blue_w1_mean,Cu_мг_кг,-0.2077,0.0412,0.2077
Blue_w1_mean,Zn_мг_кг,-0.1767,0.0786,0.1767
Blue_w1_mean,Co_мг_кг,-0.2534,0.0488,0.2534
Blue_w1_std,N_%,,,
Blue_w1_std,P_%,,,
Blue_w1_std,K_%,,,
Blue_w1_std,Ca_%,,,
Blue_w1_std,Mg_%,,,
Blue_w1_std,S_%,,,
Blue_w1_std,Нитраты_мг_кг,,,
Blue_w1_std,Fe_мг_кг,,,
Blue_w1_std,Mn_мг_кг,,,
Blue_w1_std,Cu_мг_кг,,,
Blue_w1_std,Zn_мг_кг,,,
Blue_w1_std,Co_мг_кг,,,
Blue_w1_median,N_%,0.2724,0.0061,0.2724
Blue_w1_median,P_%,-0.0124,0.9025,0.0124
Blue_w1_median,K_%,0.0532,0.5992,0.0532
Blue_w1_median,Ca_%,0.2887,0.0036,0.2887
Blue_w1_median,Mg_%,-0.1197,0.2357,0.1197
Blue_w1_median,S_%,0.1096,0.2777,0.1096
Blue_w1_median,Нитраты_мг_кг,0.0474,0.6393,0.0474
Blue_w1_median,Fe_мг_кг,-0.1051,0.2980,0.1051
Blue_w1_median,Mn_мг_кг,-0.2017,0.0441,0.2017
Blue_w1_median,Cu_мг_кг,-0.2077,0.0412,0.2077
Blue_w1_median,Zn_мг_кг,-0.1767,0.0786,0.1767
Blue_w1_median,Co_мг_кг,-0.2534,0.0488,0.2534
Blue_w1_p25,N_%,0.2724,0.0061,0.2724
Blue_w1_p25,P_%,-0.0124,0.9025,0.0124
Blue_w1_p25,K_%,0.0532,0.5992,0.0532
Blue_w1_p25,Ca_%,0.2887,0.0036,0.2887
Blue_w1_p25,Mg_%,-0.1197,0.2357,0.1197
Blue_w1_p25,S_%,0.1096,0.2777,0.1096
Blue_w1_p25,Нитраты_мг_кг,0.0474,0.6393,0.0474
Blue_w1_p25,Fe_мг_кг,-0.1051,0.2980,0.1051
Blue_w1_p25,Mn_мг_кг,-0.2017,0.0441,0.2017
Blue_w1_p25,Cu_мг_кг,-0.2077,0.0412,0.2077
Blue_w1_p25,Zn_мг_кг,-0.1767,0.0786,0.1767
Blue_w1_p25,Co_мг_кг,-0.2534,0.0488,0.2534
Blue_w1_p75,N_%,0.2724,0.0061,0.2724
Blue_w1_p75,P_%,-0.0124,0.9025,0.0124
Blue_w1_p75,K_%,0.0532,0.5992,0.0532
Blue_w1_p75,Ca_%,0.2887,0.0036,0.2887
Blue_w1_p75,Mg_%,-0.1197,0.2357,0.1197
Blue_w1_p75,S_%,0.1096,0.2777,0.1096
Blue_w1_p75,Нитраты_мг_кг,0.0474,0.6393,0.0474
Blue_w1_p75,Fe_мг_кг,-0.1051,0.2980,0.1051
Blue_w1_p75,Mn_мг_кг,-0.2017,0.0441,0.2017
Blue_w1_p75,Cu_мг_кг,-0.2077,0.0412,0.2077
Blue_w1_p75,Zn_мг_кг,-0.1767,0.0786,0.1767
Blue_w1_p75,Co_мг_кг,-0.2534,0.0488,0.2534
Blue_w1_cv,N_%,,,
Blue_w1_cv,P_%,,,
Blue_w1_cv,K_%,,,
Blue_w1_cv,Ca_%,,,
Blue_w1_cv,Mg_%,,,
Blue_w1_cv,S_%,,,
Blue_w1_cv,Нитраты_мг_кг,,,
Blue_w1_cv,Fe_мг_кг,,,
Blue_w1_cv,Mn_мг_кг,,,
Blue_w1_cv,Cu_мг_кг,,,
Blue_w1_cv,Zn_мг_кг,,,
Blue_w1_cv,Co_мг_кг,,,
Blue_w1_range,N_%,,,
Blue_w1_range,P_%,,,
Blue_w1_range,K_%,,,
Blue_w1_range,Ca_%,,,
Blue_w1_range,Mg_%,,,
Blue_w1_range,S_%,,,
Blue_w1_range,Нитраты_мг_кг,,,
Blue_w1_range,Fe_мг_кг,,,
Blue_w1_range,Mn_мг_кг,,,
Blue_w1_range,Cu_мг_кг,,,
Blue_w1_range,Zn_мг_кг,,,
Blue_w1_range,Co_мг_кг,,,
Green_w1_mean,N_%,0.2341,0.0191,0.2341
Green_w1_mean,P_%,-0.1454,0.1490,0.1454
Green_w1_mean,K_%,0.0304,0.7638,0.0304
Green_w1_mean,Ca_%,0.3313,0.0008,0.3313
Green_w1_mean,Mg_%,-0.0885,0.3812,0.0885
Green_w1_mean,S_%,0.1064,0.2920,0.1064
Green_w1_mean,Нитраты_мг_кг,0.0182,0.8573,0.0182
Green_w1_mean,Fe_мг_кг,0.0353,0.7275,0.0353
Green_w1_mean,Mn_мг_кг,-0.1121,0.2667,0.1121
Green_w1_mean,Cu_мг_кг,-0.1823,0.0740,0.1823
Green_w1_mean,Zn_мг_кг,-0.1596,0.1128,0.1596
Green_w1_mean,Co_мг_кг,-0.2229,0.0843,0.2229
Green_w1_std,N_%,,,
Green_w1_std,P_%,,,
Green_w1_std,K_%,,,
Green_w1_std,Ca_%,,,
Green_w1_std,Mg_%,,,
Green_w1_std,S_%,,,
Green_w1_std,Нитраты_мг_кг,,,
Green_w1_std,Fe_мг_кг,,,
Green_w1_std,Mn_мг_кг,,,
Green_w1_std,Cu_мг_кг,,,
Green_w1_std,Zn_мг_кг,,,
Green_w1_std,Co_мг_кг,,,
Green_w1_median,N_%,0.2341,0.0191,0.2341
Green_w1_median,P_%,-0.1454,0.1490,0.1454
Green_w1_median,K_%,0.0304,0.7638,0.0304
Green_w1_median,Ca_%,0.3313,0.0008,0.3313
Green_w1_median,Mg_%,-0.0885,0.3812,0.0885
Green_w1_median,S_%,0.1064,0.2920,0.1064
Green_w1_median,Нитраты_мг_кг,0.0182,0.8573,0.0182
Green_w1_median,Fe_мг_кг,0.0353,0.7275,0.0353
Green_w1_median,Mn_мг_кг,-0.1121,0.2667,0.1121
Green_w1_median,Cu_мг_кг,-0.1823,0.0740,0.1823
Green_w1_median,Zn_мг_кг,-0.1596,0.1128,0.1596
Green_w1_median,Co_мг_кг,-0.2229,0.0843,0.2229
Green_w1_p25,N_%,0.2341,0.0191,0.2341
Green_w1_p25,P_%,-0.1454,0.1490,0.1454
Green_w1_p25,K_%,0.0304,0.7638,0.0304
Green_w1_p25,Ca_%,0.3313,0.0008,0.3313
Green_w1_p25,Mg_%,-0.0885,0.3812,0.0885
Green_w1_p25,S_%,0.1064,0.2920,0.1064
Green_w1_p25,Нитраты_мг_кг,0.0182,0.8573,0.0182
Green_w1_p25,Fe_мг_кг,0.0353,0.7275,0.0353
Green_w1_p25,Mn_мг_кг,-0.1121,0.2667,0.1121
Green_w1_p25,Cu_мг_кг,-0.1823,0.0740,0.1823
Green_w1_p25,Zn_мг_кг,-0.1596,0.1128,0.1596
Green_w1_p25,Co_мг_кг,-0.2229,0.0843,0.2229
Green_w1_p75,N_%,0.2341,0.0191,0.2341
Green_w1_p75,P_%,-0.1454,0.1490,0.1454
Green_w1_p75,K_%,0.0304,0.7638,0.0304
Green_w1_p75,Ca_%,0.3313,0.0008,0.3313
Green_w1_p75,Mg_%,-0.0885,0.3812,0.0885
Green_w1_p75,S_%,0.1064,0.2920,0.1064
Green_w1_p75,Нитраты_мг_кг,0.0182,0.8573,0.0182
Green_w1_p75,Fe_мг_кг,0.0353,0.7275,0.0353
Green_w1_p75,Mn_мг_кг,-0.1121,0.2667,0.1121
Green_w1_p75,Cu_мг_кг,-0.1823,0.0740,0.1823
Green_w1_p75,Zn_мг_кг,-0.1596,0.1128,0.1596
Green_w1_p75,Co_мг_кг,-0.2229,0.0843,0.2229
Green_w1_cv,N_%,,,
Green_w1_cv,P_%,,,
Green_w1_cv,K_%,,,
Green_w1_cv,Ca_%,,,
Green_w1_cv,Mg_%,,,
Green_w1_cv,S_%,,,
Green_w1_cv,Нитраты_мг_кг,,,
Green_w1_cv,Fe_мг_кг,,,
Green_w1_cv,Mn_мг_кг,,,
Green_w1_cv,Cu_мг_кг,,,
Green_w1_cv,Zn_мг_кг,,,
Green_w1_cv,Co_мг_кг,,,
Green_w1_range,N_%,,,
Green_w1_range,P_%,,,
Green_w1_range,K_%,,,
Green_w1_range,Ca_%,,,
Green_w1_range,Mg_%,,,
Green_w1_range,S_%,,,
Green_w1_range,Нитраты_мг_кг,,,
Green_w1_range,Fe_мг_кг,,,
Green_w1_range,Mn_мг_кг,,,
Green_w1_range,Cu_мг_кг,,,
Green_w1_range,Zn_мг_кг,,,
Green_w1_range,Co_мг_кг,,,
Red_w1_mean,N_%,0.1664,0.0980,0.1664
Red_w1_mean,P_%,-0.1098,0.2766,0.1098
Red_w1_mean,K_%,-0.0608,0.5481,0.0608
Red_w1_mean,Ca_%,0.3374,0.0006,0.3374
Red_w1_mean,Mg_%,-0.1035,0.3053,0.1035
Red_w1_mean,S_%,0.0703,0.4872,0.0703
Red_w1_mean,Нитраты_мг_кг,-0.0352,0.7279,0.0352
Red_w1_mean,Fe_мг_кг,-0.0913,0.3662,0.0913
Red_w1_mean,Mn_мг_кг,-0.1642,0.1026,0.1642
Red_w1_mean,Cu_мг_кг,-0.2040,0.0451,0.2040
Red_w1_mean,Zn_мг_кг,-0.1960,0.0506,0.1960
Red_w1_mean,Co_мг_кг,-0.3033,0.0175,0.3033
Red_w1_std,N_%,,,
Red_w1_std,P_%,,,
Red_w1_std,K_%,,,
Red_w1_std,Ca_%,,,
Red_w1_std,Mg_%,,,
Red_w1_std,S_%,,,
Red_w1_std,Нитраты_мг_кг,,,
Red_w1_std,Fe_мг_кг,,,
Red_w1_std,Mn_мг_кг,,,
Red_w1_std,Cu_мг_кг,,,
Red_w1_std,Zn_мг_кг,,,
Red_w1_std,Co_мг_кг,,,
Red_w1_median,N_%,0.1664,0.0980,0.1664
Red_w1_median,P_%,-0.1098,0.2766,0.1098
Red_w1_median,K_%,-0.0608,0.5481,0.0608
Red_w1_median,Ca_%,0.3374,0.0006,0.3374
Red_w1_median,Mg_%,-0.1035,0.3053,0.1035
Red_w1_median,S_%,0.0703,0.4872,0.0703
Red_w1_median,Нитраты_мг_кг,-0.0352,0.7279,0.0352
Red_w1_median,Fe_мг_кг,-0.0913,0.3662,0.0913
Red_w1_median,Mn_мг_кг,-0.1642,0.1026,0.1642
Red_w1_median,Cu_мг_кг,-0.2040,0.0451,0.2040
Red_w1_median,Zn_мг_кг,-0.1960,0.0506,0.1960
Red_w1_median,Co_мг_кг,-0.3033,0.0175,0.3033
Red_w1_p25,N_%,0.1664,0.0980,0.1664
Red_w1_p25,P_%,-0.1098,0.2766,0.1098
Red_w1_p25,K_%,-0.0608,0.5481,0.0608
Red_w1_p25,Ca_%,0.3374,0.0006,0.3374
Red_w1_p25,Mg_%,-0.1035,0.3053,0.1035
Red_w1_p25,S_%,0.0703,0.4872,0.0703
Red_w1_p25,Нитраты_мг_кг,-0.0352,0.7279,0.0352
Red_w1_p25,Fe_мг_кг,-0.0913,0.3662,0.0913
Red_w1_p25,Mn_мг_кг,-0.1642,0.1026,0.1642
Red_w1_p25,Cu_мг_кг,-0.2040,0.0451,0.2040
Red_w1_p25,Zn_мг_кг,-0.1960,0.0506,0.1960
Red_w1_p25,Co_мг_кг,-0.3033,0.0175,0.3033
Red_w1_p75,N_%,0.1664,0.0980,0.1664
Red_w1_p75,P_%,-0.1098,0.2766,0.1098
Red_w1_p75,K_%,-0.0608,0.5481,0.0608
Red_w1_p75,Ca_%,0.3374,0.0006,0.3374
Red_w1_p75,Mg_%,-0.1035,0.3053,0.1035
Red_w1_p75,S_%,0.0703,0.4872,0.0703
Red_w1_p75,Нитраты_мг_кг,-0.0352,0.7279,0.0352
Red_w1_p75,Fe_мг_кг,-0.0913,0.3662,0.0913
Red_w1_p75,Mn_мг_кг,-0.1642,0.1026,0.1642
Red_w1_p75,Cu_мг_кг,-0.2040,0.0451,0.2040
Red_w1_p75,Zn_мг_кг,-0.1960,0.0506,0.1960
Red_w1_p75,Co_мг_кг,-0.3033,0.0175,0.3033
Red_w1_cv,N_%,,,
Red_w1_cv,P_%,,,
Red_w1_cv,K_%,,,
Red_w1_cv,Ca_%,,,
Red_w1_cv,Mg_%,,,
Red_w1_cv,S_%,,,
Red_w1_cv,Нитраты_мг_кг,,,
Red_w1_cv,Fe_мг_кг,,,
Red_w1_cv,Mn_мг_кг,,,
Red_w1_cv,Cu_мг_кг,,,
Red_w1_cv,Zn_мг_кг,,,
Red_w1_cv,Co_мг_кг,,,
Red_w1_range,N_%,,,
Red_w1_range,P_%,,,
Red_w1_range,K_%,,,
Red_w1_range,Ca_%,,,
Red_w1_range,Mg_%,,,
Red_w1_range,S_%,,,
Red_w1_range,Нитраты_мг_кг,,,
Red_w1_range,Fe_мг_кг,,,
Red_w1_range,Mn_мг_кг,,,
Red_w1_range,Cu_мг_кг,,,
Red_w1_range,Zn_мг_кг,,,
Red_w1_range,Co_мг_кг,,,
RedEdge_w1_mean,N_%,0.0324,0.7489,0.0324
RedEdge_w1_mean,P_%,0.0464,0.6469,0.0464
RedEdge_w1_mean,K_%,0.0280,0.7819,0.0280
RedEdge_w1_mean,Ca_%,0.1544,0.1251,0.1544
RedEdge_w1_mean,Mg_%,-0.0154,0.8791,0.0154
RedEdge_w1_mean,S_%,0.0764,0.4498,0.0764
RedEdge_w1_mean,Нитраты_мг_кг,0.0085,0.9333,0.0085
RedEdge_w1_mean,Fe_мг_кг,0.1234,0.2214,0.1234
RedEdge_w1_mean,Mn_мг_кг,-0.1976,0.0488,0.1976
RedEdge_w1_mean,Cu_мг_кг,-0.0669,0.5151,0.0669
RedEdge_w1_mean,Zn_мг_кг,-0.0875,0.3866,0.0875
RedEdge_w1_mean,Co_мг_кг,-0.0127,0.9224,0.0127
RedEdge_w1_std,N_%,,,
RedEdge_w1_std,P_%,,,
RedEdge_w1_std,K_%,,,
RedEdge_w1_std,Ca_%,,,
RedEdge_w1_std,Mg_%,,,
RedEdge_w1_std,S_%,,,
RedEdge_w1_std,Нитраты_мг_кг,,,
RedEdge_w1_std,Fe_мг_кг,,,
RedEdge_w1_std,Mn_мг_кг,,,
RedEdge_w1_std,Cu_мг_кг,,,
RedEdge_w1_std,Zn_мг_кг,,,
RedEdge_w1_std,Co_мг_кг,,,
RedEdge_w1_median,N_%,0.0324,0.7489,0.0324
RedEdge_w1_median,P_%,0.0464,0.6469,0.0464
RedEdge_w1_median,K_%,0.0280,0.7819,0.0280
RedEdge_w1_median,Ca_%,0.1544,0.1251,0.1544
RedEdge_w1_median,Mg_%,-0.0154,0.8791,0.0154
RedEdge_w1_median,S_%,0.0764,0.4498,0.0764
RedEdge_w1_median,Нитраты_мг_кг,0.0085,0.9333,0.0085
RedEdge_w1_median,Fe_мг_кг,0.1234,0.2214,0.1234
RedEdge_w1_median,Mn_мг_кг,-0.1976,0.0488,0.1976
RedEdge_w1_median,Cu_мг_кг,-0.0669,0.5151,0.0669
RedEdge_w1_median,Zn_мг_кг,-0.0875,0.3866,0.0875
RedEdge_w1_median,Co_мг_кг,-0.0127,0.9224,0.0127
RedEdge_w1_p25,N_%,0.0324,0.7489,0.0324
RedEdge_w1_p25,P_%,0.0464,0.6469,0.0464
RedEdge_w1_p25,K_%,0.0280,0.7819,0.0280
RedEdge_w1_p25,Ca_%,0.1544,0.1251,0.1544
RedEdge_w1_p25,Mg_%,-0.0154,0.8791,0.0154
RedEdge_w1_p25,S_%,0.0764,0.4498,0.0764
RedEdge_w1_p25,Нитраты_мг_кг,0.0085,0.9333,0.0085
RedEdge_w1_p25,Fe_мг_кг,0.1234,0.2214,0.1234
RedEdge_w1_p25,Mn_мг_кг,-0.1976,0.0488,0.1976
RedEdge_w1_p25,Cu_мг_кг,-0.0669,0.5151,0.0669
RedEdge_w1_p25,Zn_мг_кг,-0.0875,0.3866,0.0875
RedEdge_w1_p25,Co_мг_кг,-0.0127,0.9224,0.0127
RedEdge_w1_p75,N_%,0.0324,0.7489,0.0324
RedEdge_w1_p75,P_%,0.0464,0.6469,0.0464
RedEdge_w1_p75,K_%,0.0280,0.7819,0.0280
