model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,feature_set,n_features
XGBoost,-0.5869,-0.7647,0.3510,0.1141,0.0893,0.7900,1.2300,55.0000,Ca_%,date2,raw_smooth,300
XGBoost,-0.5989,-0.6560,0.3125,0.2251,0.1851,0.7900,0.8100,60.0000,Ca_%,date1,deriv1_snv,300
GBR,-0.6241,-0.7132,0.3189,0.2269,0.1817,0.7800,0.8000,60.0000,Ca_%,date1,pca_10,10
GBR,-0.6656,-0.9191,0.2717,0.1169,0.0921,0.7700,1.2000,55.0000,Ca_%,date2,raw_smooth,300
PLSR,-0.6869,-0.7671,0.5167,0.2312,0.1902,0.7700,0.7900,60.0000,Ca_%,date1,vip,58
GBR,-0.7867,-1.1486,0.6795,0.1211,0.0981,0.7500,1.1600,55.0000,Ca_%,date2,pca_10,10
XGBoost,-0.8085,-1.2894,1.2730,0.1218,0.1026,0.7400,1.1500,55.0000,Ca_%,date2,pca_10,10
GBR,-0.8624,-1.0719,0.6149,0.1236,0.0992,0.7300,1.1300,55.0000,Ca_%,date2,vip,116
XGBoost,-0.8675,-1.0974,0.7424,0.1238,0.0978,0.7300,1.1300,55.0000,Ca_%,date2,vip,116
PLSR,-1.1853,-1.4905,2.2265,0.2632,0.1862,0.6800,0.6900,60.0000,Ca_%,date1,pca_10,10
PLSR,-3.5897,-4.4834,7.0533,0.3814,0.2358,0.4700,0.4800,60.0000,Ca_%,date1,raw_smooth,300
PLSR,-5.2152,-10.2122,15.8795,0.2258,0.1307,0.4000,0.6200,55.0000,Ca_%,date2,hyper_idx,24
PLSR,-7.8771,-9.7672,14.4439,0.5304,0.3178,0.3400,0.3400,60.0000,Ca_%,date1,deriv1_snv,300
PLSR,-17.4780,-36.4564,69.0734,0.3893,0.1551,0.2300,0.3600,55.0000,Ca_%,date2,deriv1_snv,300
PLSR,-75.4919,-160.3806,313.8921,0.7921,0.2418,0.1100,0.1800,55.0000,Ca_%,date2,vip,116
PLSR,-92.2468,-192.6034,363.0451,0.8745,0.2724,0.1000,0.1600,55.0000,Ca_%,date2,raw_smooth,300
PLSR,-215.0163,-277.5966,554.3656,2.6165,0.5017,0.0700,0.0700,60.0000,Ca_%,date1,hyper_idx,24
PLSR,-2481.3957,-5328.1456,10628.5688,4.5121,0.8157,0.0200,0.0300,55.0000,Ca_%,date2,pca_10,10
1D-CNN-Attn,,,,,,,,,Ca_%,date2,raw_300,300
PLSR,0.3763,0.2801,0.1979,0.4610,0.3817,1.2700,1.8300,40.0000,Co_мг_кг,date1,cars_spa,11
PLSR,0.0946,-0.2345,1.0538,0.2962,0.2363,1.0500,1.3800,24.0000,Co_мг_кг,date2,cars_spa,6
ElasticNet,-0.0585,-0.1627,0.0743,0.6005,0.4902,0.9700,1.4100,40.0000,Co_мг_кг,date1,raw_smooth,300
ElasticNet,-0.0585,-0.1627,0.0743,0.6005,0.4902,0.9700,1.4100,40.0000,Co_мг_кг,date1,deriv1_snv,300
ElasticNet,-0.0585,-0.1627,0.0743,0.6005,0.4902,0.9700,1.4100,40.0000,Co_мг_кг,date1,pca_10,10
