,Blue_w1_mean,Blue_w1_std,Blue_w1_median,Blue_w1_p25,Blue_w1_p75,Blue_w1_cv,Blue_w1_range,Green_w1_mean,Green_w1_std,Green_w1_median,Green_w1_p25,Green_w1_p75,Green_w1_cv,Green_w1_range,Red_w1_mean,Red_w1_std,Red_w1_median,Red_w1_p25,Red_w1_p75,Red_w1_cv,Red_w1_range,RedEdge_w1_mean,RedEdge_w1_std,RedEdge_w1_median,RedEdge_w1_p25,RedEdge_w1_p75,RedEdge_w1_cv,RedEdge_w1_range,NIR_w1_mean,NIR_w1_std,NIR_w1_median,NIR_w1_p25,NIR_w1_p75,NIR_w1_cv,NIR_w1_range,Blue_w3_mean,Blue_w3_std,Blue_w3_median,Blue_w3_p25,Blue_w3_p75,Blue_w3_cv,Blue_w3_range,Green_w3_mean,Green_w3_std,Green_w3_median,Green_w3_p25,Green_w3_p75,Green_w3_cv,Green_w3_range,Red_w3_mean,Red_w3_std,Red_w3_median,Red_w3_p25,Red_w3_p75,Red_w3_cv,Red_w3_range,RedEdge_w3_mean,RedEdge_w3_std,RedEdge_w3_median,RedEdge_w3_p25,RedEdge_w3_p75,RedEdge_w3_cv,RedEdge_w3_range,NIR_w3_mean,NIR_w3_std,NIR_w3_median,NIR_w3_p25,NIR_w3_p75,NIR_w3_cv,NIR_w3_range,Blue_w5_mean,Blue_w5_std,Blue_w5_median,Blue_w5_p25,Blue_w5_p75,Blue_w5_cv,Blue_w5_range,Green_w5_mean,Green_w5_std,Green_w5_median,Green_w5_p25,Green_w5_p75,Green_w5_cv,Green_w5_range,Red_w5_mean,Red_w5_std,Red_w5_median,Red_w5_p25,Red_w5_p75,Red_w5_cv,Red_w5_range,RedEdge_w5_mean,RedEdge_w5_std,RedEdge_w5_median,RedEdge_w5_p25,RedEdge_w5_p75,RedEdge_w5_cv,RedEdge_w5_range,NIR_w5_mean,NIR_w5_std,NIR_w5_median,NIR_w5_p25,NIR_w5_p75,NIR_w5_cv,NIR_w5_range,Blue_w7_mean,Blue_w7_std,Blue_w7_median,Blue_w7_p25,Blue_w7_p75,Blue_w7_cv,Blue_w7_range,Green_w7_mean,Green_w7_std,Green_w7_median,Green_w7_p25,Green_w7_p75,Green_w7_cv,Green_w7_range,Red_w7_mean,Red_w7_std,Red_w7_median,Red_w7_p25,Red_w7_p75,Red_w7_cv,Red_w7_range,RedEdge_w7_mean,RedEdge_w7_std,RedEdge_w7_median,RedEdge_w7_p25,RedEdge_w7_p75,RedEdge_w7_cv,RedEdge_w7_range,NIR_w7_mean,NIR_w7_std,NIR_w7_median,NIR_w7_p25,NIR_w7_p75,NIR_w7_cv,NIR_w7_range
1,0.032678,0.000000,0.032678,0.032678,0.032678,0.000000,0.000000,0.034800,0.000000,0.034800,0.034800,0.034800,0.000000,0.000000,0.050927,0.000000,0.050927,0.050927,0.050927,0.000000,0.000000,0.043377,0.000000,0.043377,0.043377,0.043377,0.000000,0.000000,0.018154,0.000000,0.018154,0.018154,0.018154,0.000000,0.000000,0.035269,0.003973,0.034586,0.032678,0.036480,0.112649,0.012868,0.037132,0.002879,0.036213,0.035256,0.040420,0.077536,0.008853,0.057492,0.005681,0.057023,0.054268,0.061472,0.098807,0.018412,0.041825,0.002813,0.041150,0.040159,0.043377,0.067248,0.009621,0.008861,0.007650,0.006558,0.003556,0.015849,0.863421,0.022531,0.035875,0.004701,0.036249,0.031723,0.039635,0.131035,0.015207,0.038442,0.004048,0.038364,0.035632,0.041174,0.105294,0.014912,0.059177,0.009640,0.058609,0.051250,0.066861,0.162908,0.034285,0.042034,0.005818,0.041150,0.037380,0.045538,0.138417,0.021534,0.010310,0.011332,0.006558,0.000000,0.015849,1.099177,0.040023,0.033756,0.006204,0.034248,0.030000,0.037788,0.183796,0.027706,0.037118,0.004264,0.036810,0.034581,0.039290,0.114877,0.017675,0.056907,0.012788,0.058347,0.048848,0.065583,0.224713,0.058855,0.040739,0.006424,0.040159,0.036713,0.045245,0.157681,0.032926,0.013698,0.019617,0.007058,0.000000,0.018154,1.432075,0.083136
2,0.036603,0.000000,0.036603,0.036603,0.036603,0.000000,0.000000,0.049414,0.000000,0.049414,0.049414,0.049414,0.000000,0.000000,0.067292,0.000000,0.067292,0.067292,0.067292,0.000000,0.000000,0.067299,0.000000,0.067299,0.067299,0.067299,0.000000,0.000000,0.061838,0.000000,0.061838,0.061838,0.061838,0.000000,0.000000,0.036917,0.002841,0.036849,0.035833,0.038434,0.076953,0.009820,0.050072,0.002031,0.049713,0.049414,0.051722,0.040561,0.007440,0.065275,0.005293,0.066337,0.064059,0.067292,0.081087,0.020445,0.065745,0.005027,0.066649,0.062733,0.069445,0.076466,0.016528,0.062724,0.010231,0.059409,0.054263,0.068664,0.163108,0.029981,0.034024,0.004674,0.035248,0.029969,0.037526,0.137387,0.016777,0.046424,0.004540,0.046652,0.043183,0.049556,0.097796,0.016105,0.057879,0.010690,0.060256,0.048017,0.066337,0.184696,0.038965,0.065047,0.007492,0.065154,0.062733,0.069510,0.115184,0.038875,0.067296,0.017270,0.061624,0.054263,0.079277,0.256625,0.062284,0.031945,0.005317,0.031246,0.027244,0.036172,0.166428,0.017747,0.044976,0.004182,0.044862,0.042005,0.047939,0.092987,0.017581,0.053659,0.011459,0.049880,0.043999,0.064290,0.213556,0.038965,0.065106,0.006644,0.065512,0.062213,0.068795,0.102048,0.038875,0.074742,0.020940,0.073649,0.057783,0.092052,0.280159,0.083046
3,0.043775,0.000000,0.043775,0.043775,0.043775,0.000000,0.000000,0.056070,0.000000,0.056070,0.056070,0.056070,0.000000,0.000000,0.081486,0.000000,0.081486,0.081486,0.081486,0.000000,0.000000,0.071622,0.000000,0.071622,0.071622,0.071622,0.000000,0.000000,0.044811,0.000000,0.044811,0.044811,0.044811,0.000000,0.000000,0.045641,0.004477,0.045468,0.043852,0.047516,0.098097,0.016685,0.059194,0.003744,0.059633,0.056070,0.061501,0.063248,0.010533,0.083489,0.006195,0.082286,0.078607,0.083826,0.074203,0.020337,0.076094,0.005923,0.078627,0.071622,0.080902,0.077844,0.016772,0.046568,0.007076,0.046777,0.039880,0.052297,0.151954,0.020136,0.049100,0.006225,0.047823,0.044499,0.052887,0.126777,0.025397,0.062615,0.004802,0.062255,0.059209,0.065127,0.076694,0.018931,0.087193,0.010378,0.083826,0.079777,0.095649,0.119026,0.042444,0.080947,0.007442,0.080529,0.076222,0.084592,0.091942,0.035738,0.047724,0.008542,0.046616,0.039880,0.053119,0.178981,0.035645,0.049781,0.007200,0.049332,0.044930,0.054842,0.144628,0.029845,0.063469,0.004948,0.062255,0.059775,0.066289,0.077965,0.018931,0.086527,0.013116,0.083888,0.078607,0.095973,0.151586,0.051681,0.082732,0.007128,0.081845,0.078643,0.086525,0.086160,0.035738,0.052011,0.011217,0.049814,0.044847,0.058247,0.215668,0.060623
4,0.051687,0.000000,0.051687,0.051687,0.051687,0.000000,0.000000,0.058472,0.000000,0.058472,0.058472,0.058472,0.000000,0.000000,0.070694,0.000000,0.070694,0.070694,0.070694,0.000000,0.000000,0.076904,0.000000,0.076904,0.076904,0.076904,0.000000,0.000000,0.085995,0.000000,0.085995,0.085995,0.085995,0.000000,0.000000,0.041107,0.007541,0.041759,0.038419,0.044745,0.183451,0.025474,0.056503,0.008762,0.058472,0.054642,0.061423,0.155064,0.031002,0.064060,0.012362,0.069370,0.060333,0.070694,0.192976,0.041536,0.075153,0.007309,0.076644,0.070680,0.081357,0.097255,0.021664,0.083406,0.009138,0.083350,0.082796,0.085995,0.109560,0.037020,0.036268,0.011146,0.038419,0.026259,0.043945,0.307326,0.040881,0.052912,0.009797,0.053574,0.044486,0.059900,0.185147,0.035507,0.057120,0.017014,0.058932,0.047140,0.069586,0.297865,0.067230,0.074640,0.007555,0.076904,0.069087,0.080626,0.101213,0.025841,0.089412,0.012625,0.086549,0.083207,0.093481,0.141205,0.057657,0.034184,0.011630,0.030738,0.025290,0.041759,0.340214,0.048361,0.051379,0.009841,0.050639,0.042853,0.059257,0.191546,0.035507,0.054117,0.018373,0.050234,0.038164,0.068970,0.339507,0.074312,0.073176,0.010043,0.074873,0.065105,0.080789,0.137244,0.037575,0.090857,0.014025,0.088460,0.083207,0.100860,0.154366,0.061802
5,0.059321,0.000000,0.059321,0.059321,0.059321,0.000000,0.000000,0.081060,0.000000,0.081060,0.081060,0.081060,0.000000,0.000000,0.110967,0.000000,0.110967,0.110967,0.110967,0.000000,0.000000,0.120541,0.000000,0.120541,0.120541,0.120541,0.000000,0.000000,0.071451,0.000000,0.071451,0.071451,0.071451,0.000000,0.000000,0.066140,0.005200,0.066232,0.062584,0.067294,0.078627,0.018932,0.085059,0.003437,0.084058,0.082284,0.087857,0.040412,0.010862,0.117895,0.008310,0.118665,0.110967,0.126178,0.070489,0.024971,0.113354,0.005271,0.114430,0.108547,0.117746,0.046501,0.014399,0.065606,0.012451,0.071451,0.058158,0.073398,0.189778,0.042273,0.068058,0.009261,0.067771,0.065093,0.075098,0.136077,0.035909,0.084938,0.007267,0.085691,0.082112,0.090447,0.085555,0.032179,0.119562,0.015130,0.126178,0.110967,0.130873,0.126545,0.054791,0.109806,0.006841,0.109896,0.105817,0.114430,0.062298,0.028457,0.063905,0.015086,0.061767,0.053673,0.073398,0.236069,0.056603,0.066363,0.012886,0.068880,0.060445,0.075190,0.194170,0.049654,0.082300,0.010599,0.084372,0.077167,0.090447,0.128787,0.041236,0.115595,0.022521,0.126178,0.109243,0.130935,0.194829,0.078930,0.105796,0.008848,0.105768,0.099933,0.114219,0.083630,0.036632,0.062680,0.018172,0.059855,0.047634,0.072862,0.289915,0.068038
6,0.038357,0.000000,0.038357,0.038357,0.038357,0.000000,0.000000,0.058958,0.000000,0.058958,0.058958,0.058958,0.000000,0.000000,0.054421,0.000000,0.054421,0.054421,0.054421,0.000000,0.000000,0.079586,0.000000,0.079586,0.079586,0.079586,0.000000,0.000000,0.077633,0.000000,0.077633,0.077633,0.077633,0.000000,0.000000,0.045775,0.005599,0.045730,0.040020,0.049178,0.122309,0.017454,0.060188,0.002883,0.059115,0.058833,0.060622,0.047897,0.008790,0.067139,0.009778,0.064752,0.058301,0.075313,0.145641,0.030775,0.076224,0.003949,0.075880,0.074125,0.079586,0.051807,0.011896,0.068338,0.014358,0.067234,0.057211,0.077704,0.210099,0.046472,0.052655,0.010286,0.050902,0.045176,0.062784,0.195349,0.031123,0.064553,0.004871,0.064390,0.060481,0.068486,0.075459,0.018271,0.077510,0.014024,0.077914,0.064367,0.091416,0.180936,0.041413,0.076805,0.004043,0.076839,0.074125,0.079586,0.052635,0.015992,0.060296,0.017370,0.056943,0.045133,0.077633,0.288083,0.056192,0.054694,0.009746,0.054858,0.046407,0.063739,0.178188,0.035140,0.065675,0.004729,0.064923,0.061721,0.069836,0.072013,0.018271,0.081486,0.013294,0.085196,0.069447,0.093001,0.163142,0.047401,0.077746,0.004166,0.078091,0.074662,0.080772,0.053588,0.016675,0.056111,0.017464,0.051869,0.042006,0.067234,0.311237,0.061838
7,0.042759,0.000000,0.042759,0.042759,0.042759,0.000000,0.000000,0.055583,0.000000,0.055583,0.055583,0.055583,0.000000,0.000000,0.066229,0.000000,0.066229,0.066229,0.066229,0.000000,0.000000,0.074174,0.000000,0.074174,0.074174,0.074174,0.000000,0.000000,0.068414,0.000000,0.068414,0.068414,0.068414,0.000000,0.000000,0.038539,0.003371,0.037772,0.037018,0.040466,0.087472,0.011190,0.050023,0.004508,0.048802,0.045930,0.055583,0.090117,0.011066,0.058097,0.008101,0.057562,0.050157,0.065275,0.139431,0.025633,0.066778,0.004537,0.065577,0.063366,0.070371,0.067942,0.014594,0.068543,0.005184,0.068414,0.067199,0.070290,0.075633,0.017849,0.034593,0.005124,0.033848,0.031893,0.037772,0.148126,0.019071,0.047196,0.005104,0.045930,0.044423,0.049791,0.108155,0.018460,0.051498,0.010960,0.052205,0.045431,0.057562,0.212822,0.041936,0.068702,0.006526,0.066747,0.065187,0.072110,0.094995,0.028945,0.074109,0.014477,0.070290,0.061606,0.082171,0.195352,0.053565,0.033538,0.006319,0.033340,0.029476,0.037772,0.188417,0.029383,0.046890,0.004662,0.046338,0.044282,0.049791,0.099420,0.018460,0.050594,0.011668,0.051235,0.044846,0.057562,0.230629,0.048541,0.068390,0.006313,0.068762,0.064975,0.072354,0.092314,0.032049,0.074862,0.018045,0.073470,0.061034,0.091230,0.241049,0.071093
8,0.041805,0.000000,0.041805,0.041805,0.041805,0.000000,0.000000,0.061643,0.000000,0.061643,0.061643,0.061643,0.000000,0.000000,0.073650,0.000000,0.073650,0.073650,0.073650,0.000000,0.000000,0.082495,0.000000,0.082495,0.082495,0.082495,0.000000,0.000000,0.064215,0.000000,0.064215,0.064215,0.064215,0.000000,0.000000,0.045663,0.006814,0.044976,0.040343,0.051471,0.149212,0.021010,0.063753,0.003574,0.063197,0.061643,0.065520,0.056055,0.012118,0.076438,0.009016,0.073804,0.068031,0.084981,0.117947,0.026510,0.084265,0.003887,0.083828,0.081682,0.085794,0.046124,0.012384,0.067093,0.011386,0.064215,0.057211,0.073988,0.169708,0.034180,0.048379,0.006060,0.048685,0.044530,0.053241,0.125268,0.023781,0.063746,0.004157,0.063197,0.059963,0.066917,0.065209,0.014143,0.080205,0.009112,0.081471,0.073650,0.086228,0.113607,0.031406,0.085745,0.004910,0.085843,0.082495,0.089678,0.057258,0.019795,0.068083,0.011982,0.069664,0.057943,0.078240,0.175986,0.043506,0.048307,0.007727,0.050409,0.044930,0.053503,0.159965,0.032231,0.063570,0.005380,0.062663,0.059963,0.067686,0.084632,0.023985,0.081434,0.012502,0.082086,0.072942,0.091908,0.153519,0.052897,0.084300,0.006170,0.084543,0.079423,0.088264,0.073188,0.031025,0.067229,0.016982,0.066716,0.056014,0.079884,0.252604,0.080759
9,0.072558,0.000000,0.072558,0.072558,0.072558,0.000000,0.000000,0.081939,0.000000,0.081939,0.081939,0.081939,0.000000,0.000000,0.125269,0.000000,0.125269,0.125269,0.125269,0.000000,0.000000,0.090784,0.000000,0.090784,0.090784,0.090784,0.000000,0.000000,0.052440,0.000000,0.052440,0.052440,0.052440,0.000000,0.000000,0.070328,0.008151,0.072558,0.069003,0.075975,0.115899,0.026767,0.078233,0.002045,0.077340,0.076680,0.079710,0.026139,0.006310,0.114129,0.006314,0.114755,0.111937,0.116833,0.055328,0.023785,0.089482,0.004486,0.091206,0.087403,0.091482,0.050132,0.014107,0.047471,0.005479,0.044936,0.044436,0.052440,0.115420,0.016670,0.065158,0.008678,0.066571,0.059891,0.072112,0.133184,0.030060,0.074370,0.005284,0.075660,0.070857,0.077999,0.071050,0.020077,0.107539,0.010133,0.109613,0.099991,0.115124,0.094229,0.038026,0.086945,0.007311,0.088004,0.082869,0.091482,0.084090,0.029952,0.045085,0.007680,0.043829,0.040094,0.052440,0.170350,0.030338,0.063273,0.007881,0.062246,0.058736,0.070742,0.124549,0.030060,0.072706,0.005425,0.073086,0.069679,0.076680,0.074615,0.021521,0.104171,0.010916,0.104717,0.095926,0.111983,0.104787,0.045446,0.085067,0.007170,0.085388,0.080431,0.090784,0.084283,0.030440,0.044160,0.007235,0.044436,0.038629,0.050189,0.163828,0.030338
10,0.028137,0.000000,0.028137,0.028137,0.028137,0.000000,0.000000,0.036935,0.000000,0.036935,0.036935,0.036935,0.000000,0.000000,0.048094,0.000000,0.048094,0.048094,0.048094,0.000000,0.000000,0.038241,0.000000,0.038241,0.038241,0.038241,0.000000,0.000000,0.028624,0.000000,0.028624,0.028624,0.028624,0.000000,0.000000,0.032744,0.003460,0.033139,0.031600,0.033586,0.105658,0.012421,0.039543,0.003242,0.037689,0.036935,0.042414,0.081993,0.008728,0.054846,0.007803,0.056346,0.048094,0.059794,0.142265,0.024755,0.044492,0.005090,0.042564,0.039882,0.048528,0.114411,0.016252,0.027677,0.011148,0.028159,0.021977,0.031768,0.402784,0.036967,0.035378,0.003952,0.035910,0.032416,0.038511,0.111701,0.015207,0.041255,0.004022,0.040294,0.038442,0.044077,0.097487,0.014928,0.059488,0.007197,0.061303,0.056346,0.065321,0.120984,0.024755,0.048682,0.006564,0.049325,0.042564,0.052364,0.134843,0.024037,0.023770,0.014572,0.021977,0.012061,0.031768,0.613053,0.052619,0.035218,0.003496,0.035310,0.032447,0.037126,0.099258,0.015207,0.041937,0.003841,0.041221,0.038772,0.044941,0.091591,0.014928,0.060536,0.006615,0.061380,0.056608,0.065537,0.109277,0.028142,0.049187,0.006812,0.048528,0.043962,0.053632,0.138494,0.026556,0.022674,0.016231,0.019851,0.010096,0.031768,0.715837,0.073684
