model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,feature_set,n_features,augmented
PLSR,-9.0085,-6.0300,9.0661,30.5394,13.3728,0.3200,0.3700,55.0000,Mn_мг_кг,date2,shape,12,none
RF,0.2377,0.2664,0.3890,7.2225,4.8334,1.1500,1.2600,110.0000,Mn_мг_кг,date2,shape,12,mixup
PLSR,0.1778,0.1613,0.2046,7.5010,5.4377,1.1000,1.2200,110.0000,Mn_мг_кг,date2,shape,12,mixup
ElasticNet,0.1245,0.1173,0.1257,7.7401,5.7841,1.0700,1.1800,110.0000,Mn_мг_кг,date2,shape,12,mixup
GBR,0.1241,0.1559,0.3770,7.7419,4.7415,1.0700,1.1800,110.0000,Mn_мг_кг,date2,shape,12,mixup
XGBoost,0.1142,0.1578,0.3752,7.7858,4.7424,1.0600,1.1700,110.0000,Mn_мг_кг,date2,shape,12,mixup
SVR,0.0411,0.0281,0.0266,8.1005,5.7246,1.0200,1.1300,110.0000,Mn_мг_кг,date2,shape,12,mixup
SVR,-0.0395,-0.1100,0.1346,9.8423,6.9950,0.9800,1.1300,55.0000,Mn_мг_кг,date2,hyper_idx,24,none
ElasticNet,-0.0995,-0.2798,0.3442,10.1221,7.5669,0.9500,1.1000,55.0000,Mn_мг_кг,date2,hyper_idx,24,none
RF,-0.1575,-0.4598,0.6440,10.3856,7.9014,0.9300,1.0700,55.0000,Mn_мг_кг,date2,hyper_idx,24,none
GBR,-0.1929,-0.5456,0.7885,10.5432,7.9932,0.9200,1.0600,55.0000,Mn_мг_кг,date2,hyper_idx,24,none
XGBoost,-0.5462,-1.0139,1.3357,12.0035,9.2235,0.8000,0.9300,55.0000,Mn_мг_кг,date2,hyper_idx,24,none
PLSR,-17.5387,-27.1712,50.2191,41.5638,16.9386,0.2300,0.2700,55.0000,Mn_мг_кг,date2,hyper_idx,24,none
RF,0.2182,0.2526,0.4997,7.3141,4.4371,1.1300,1.2500,110.0000,Mn_мг_кг,date2,hyper_idx,24,mixup
GBR,0.1825,0.2229,0.6191,7.4795,4.0382,1.1100,1.2200,110.0000,Mn_мг_кг,date2,hyper_idx,24,mixup
PLSR,0.1651,0.1269,0.4453,7.5584,5.6180,1.0900,1.2100,110.0000,Mn_мг_кг,date2,hyper_idx,24,mixup
ElasticNet,0.1235,0.1132,0.1512,7.7447,5.6590,1.0700,1.1800,110.0000,Mn_мг_кг,date2,hyper_idx,24,mixup
SVR,0.0647,0.0448,0.0601,8.0001,5.5711,1.0300,1.1400,110.0000,Mn_мг_кг,date2,hyper_idx,24,mixup
XGBoost,-0.0528,0.0003,0.8903,8.4876,4.6056,0.9700,1.0700,110.0000,Mn_мг_кг,date2,hyper_idx,24,mixup
ElasticNet,0.0477,-0.0837,0.2399,9.4200,7.0099,1.0200,1.1800,55.0000,Mn_мг_кг,date2,pca,10,none
SVR,-0.0338,-0.1099,0.1526,9.8153,6.9645,0.9800,1.1400,55.0000,Mn_мг_кг,date2,pca,10,none
RF,-0.2090,-0.3894,0.4164,10.6142,8.1154,0.9100,1.0500,55.0000,Mn_мг_кг,date2,pca,10,none
XGBoost,-0.3198,-0.5936,0.5850,11.0901,8.4475,0.8700,1.0100,55.0000,Mn_мг_кг,date2,pca,10,none
GBR,-0.3420,-0.5510,0.6642,11.1827,8.8195,0.8600,1.0000,55.0000,Mn_мг_кг,date2,pca,10,none
PLSR,-889.2561,-560.6839,936.9685,288.0269,59.8656,0.0300,0.0400,55.0000,Mn_мг_кг,date2,pca,10,none
SVR,-0.0326,-0.1002,0.1549,9.8095,6.9255,0.9800,1.1400,55.0000,Mn_мг_кг,date2,combined,91,none
ElasticNet,-0.0560,-0.2677,0.4180,9.9201,7.5393,0.9700,1.1200,55.0000,Mn_мг_кг,date2,combined,91,none
RF,-0.1624,-0.4454,0.5800,10.4077,8.1739,0.9300,1.0700,55.0000,Mn_мг_кг,date2,combined,91,none
GBR,-0.3406,-0.7750,0.9720,11.1769,8.3249,0.8600,1.0000,55.0000,Mn_мг_кг,date2,combined,91,none
XGBoost,-0.7646,-1.2728,1.4571,12.8232,9.6609,0.7500,0.8700,55.0000,Mn_мг_кг,date2,combined,91,none
PLSR,-6.5010,-7.2117,7.8158,26.4385,15.2769,0.3700,0.4200,55.0000,Mn_мг_кг,date2,combined,91,none
RF,0.2022,0.2334,0.4960,7.3890,4.5632,1.1200,1.2300,110.0000,Mn_мг_кг,date2,combined,91,mixup
GBR,0.1508,0.1940,0.6082,7.6232,4.1379,1.0900,1.2000,110.0000,Mn_мг_кг,date2,combined,91,mixup
ElasticNet,0.1409,0.1292,0.2286,7.6676,5.5583,1.0800,1.1900,110.0000,Mn_мг_кг,date2,combined,91,mixup
PLSR,0.1126,0.0667,0.5557,7.7927,5.5159,1.0600,1.1700,110.0000,Mn_мг_кг,date2,combined,91,mixup
SVR,0.0577,0.0408,0.0287,8.0302,5.4372,1.0300,1.1400,110.0000,Mn_мг_кг,date2,combined,91,mixup
XGBoost,-0.0658,-0.0333,0.8975,8.5401,4.6592,0.9700,1.0700,110.0000,Mn_мг_кг,date2,combined,91,mixup
Stacking,-0.3136,,,11.0638,,0.8700,,,Mn_мг_кг,date2,combined,91,none
SVR,0.0021,0.0195,0.1376,1.6469,1.1503,1.0000,1.0000,55.0000,Cu_мг_кг,date2,smooth_300,300,none
ElasticNet,-0.0169,-0.0607,0.0450,1.6625,1.2058,0.9900,0.9900,55.0000,Cu_мг_кг,date2,smooth_300,300,none
RF,-0.0811,-0.1210,0.2302,1.7142,1.1892,0.9600,0.9600,55.0000,Cu_мг_кг,date2,smooth_300,300,none
GBR,-0.1208,-0.1421,0.2412,1.7454,1.1432,0.9400,0.9400,55.0000,Cu_мг_кг,date2,smooth_300,300,none
XGBoost,-0.4476,-0.5623,0.3739,1.9836,1.4053,0.8300,0.8300,55.0000,Cu_мг_кг,date2,smooth_300,300,none
PLSR,-557.9484,-958.7887,1893.3662,38.9775,7.9516,0.0400,0.0400,55.0000,Cu_мг_кг,date2,smooth_300,300,none
ElasticNet,-0.0335,-0.0740,0.0289,1.6761,1.2166,0.9800,0.9800,55.0000,Cu_мг_кг,date2,d1snv_300,300,none
SVR,-0.0696,-0.0512,0.2127,1.7051,1.1881,0.9700,0.9600,55.0000,Cu_мг_кг,date2,d1snv_300,300,none
RF,-0.2146,-0.2775,0.1377,1.8170,1.3209,0.9100,0.9000,55.0000,Cu_мг_кг,date2,d1snv_300,300,none
GBR,-0.2833,-0.3425,0.2914,1.8676,1.4322,0.8800,0.8800,55.0000,Cu_мг_кг,date2,d1snv_300,300,none
XGBoost,-0.5724,-0.7629,1.0307,2.0673,1.5719,0.8000,0.7900,55.0000,Cu_мг_кг,date2,d1snv_300,300,none
PLSR,-39.3604,-68.1898,118.7021,10.4738,3.4309,0.1600,0.1600,55.0000,Cu_мг_кг,date2,d1snv_300,300,none
SVR,-0.0065,0.0115,0.1382,1.6540,1.1737,1.0000,0.9900,55.0000,Cu_мг_кг,date2,cwt,45,none
ElasticNet,-0.0169,-0.0607,0.0450,1.6625,1.2058,0.9900,0.9900,55.0000,Cu_мг_кг,date2,cwt,45,none
RF,-0.1120,-0.0667,0.2344,1.7386,1.2335,0.9500,0.9400,55.0000,Cu_мг_кг,date2,cwt,45,none
GBR,-0.2745,-0.3970,0.5693,1.8612,1.3218,0.8900,0.8800,55.0000,Cu_мг_кг,date2,cwt,45,none
XGBoost,-0.7163,-0.8152,0.7169,2.1599,1.5467,0.7600,0.7600,55.0000,Cu_мг_кг,date2,cwt,45,none
PLSR,-2.4022,-3.8727,4.5666,3.0409,1.9884,0.5400,0.5400,55.0000,Cu_мг_кг,date2,cwt,45,none
PLSR,0.3570,0.2216,0.3539,1.3884,1.0530,1.2500,1.3900,110.0000,Cu_мг_кг,date2,cwt,45,mixup
RF,0.2125,0.2236,0.2286,1.5365,1.0574,1.1300,1.2500,110.0000,Cu_мг_кг,date2,cwt,45,mixup
GBR,0.2085,0.2531,0.2421,1.5405,0.9117,1.1200,1.2500,110.0000,Cu_мг_кг,date2,cwt,45,mixup
XGBoost,0.1514,0.1342,0.2556,1.5950,0.9669,1.0900,1.2100,110.0000,Cu_мг_кг,date2,cwt,45,mixup
SVR,-0.0043,-0.0302,0.1478,1.7352,1.2145,1.0000,1.1100,110.0000,Cu_мг_кг,date2,cwt,45,mixup
ElasticNet,-0.0254,-0.1146,0.1705,1.7533,1.3035,0.9900,1.1000,110.0000,Cu_мг_кг,date2,cwt,45,mixup
SVR,0.0092,0.0180,0.1512,1.6410,1.1542,1.0000,1.0000,55.0000,Cu_мг_кг,date2,shape,12,none
ElasticNet,-0.0110,-0.0514,0.0429,1.6577,1.1980,0.9900,0.9900,55.0000,Cu_мг_кг,date2,shape,12,none
RF,-0.0875,-0.1967,0.2417,1.7193,1.2227,0.9600,0.9500,55.0000,Cu_мг_кг,date2,shape,12,none
GBR,-0.1924,-0.4395,0.7387,1.8003,1.3292,0.9200,0.9100,55.0000,Cu_мг_кг,date2,shape,12,none
XGBoost,-0.3445,-0.3779,0.2217,1.9117,1.3703,0.8600,0.8600,55.0000,Cu_мг_кг,date2,shape,12,none
PLSR,-7.6122,-13.0201,25.1279,4.8382,2.0291,0.3400,0.3400,55.0000,Cu_мг_кг,date2,shape,12,none
XGBoost,0.5466,0.4146,0.3094,1.1659,0.7899,1.4900,1.6500,110.0000,Cu_мг_кг,date2,shape,12,mixup
GBR,0.4182,0.3455,0.4078,1.3207,0.8045,1.3100,1.4600,110.0000,Cu_мг_кг,date2,shape,12,mixup
RF,0.3584,0.2383,0.5991,1.3869,0.8965,1.2500,1.3900,110.0000,Cu_мг_кг,date2,shape,12,mixup
SVR,0.0830,0.0510,0.2153,1.6580,1.1155,1.0400,1.1600,110.0000,Cu_мг_кг,date2,shape,12,mixup
PLSR,0.0071,-0.1067,0.1647,1.7253,1.2307,1.0000,1.1200,110.0000,Cu_мг_кг,date2,shape,12,mixup
ElasticNet,0.0049,-0.0720,0.1593,1.7272,1.2790,1.0000,1.1200,110.0000,Cu_мг_кг,date2,shape,12,mixup
ElasticNet,-0.0145,-0.0548,0.0346,1.6606,1.1952,0.9900,0.9900,55.0000,Cu_мг_кг,date2,hyper_idx,24,none
SVR,-0.1172,-0.1422,0.2721,1.7426,1.2341,0.9500,0.9400,55.0000,Cu_мг_кг,date2,hyper_idx,24,none
RF,-0.5119,-0.6759,0.6515,2.0271,1.4309,0.8100,0.8100,55.0000,Cu_мг_кг,date2,hyper_idx,24,none
GBR,-0.6037,-0.8536,0.5896,2.0878,1.5131,0.7900,0.7900,55.0000,Cu_мг_кг,date2,hyper_idx,24,none
XGBoost,-1.4593,-2.1184,2.1699,2.5854,1.8614,0.6400,0.6300,55.0000,Cu_мг_кг,date2,hyper_idx,24,none
PLSR,-7.1779,-12.3626,17.2265,4.7146,2.4658,0.3500,0.3500,55.0000,Cu_мг_кг,date2,hyper_idx,24,none
RF,0.4256,0.2913,0.5855,1.3123,0.7997,1.3200,1.4700,110.0000,Cu_мг_кг,date2,hyper_idx,24,mixup
GBR,0.4188,0.3127,0.5862,1.3201,0.6990,1.3100,1.4600,110.0000,Cu_мг_кг,date2,hyper_idx,24,mixup
XGBoost,0.3391,0.2290,0.6243,1.4076,0.7447,1.2300,1.3700,110.0000,Cu_мг_кг,date2,hyper_idx,24,mixup
SVR,0.1941,0.1371,0.1830,1.5544,1.0053,1.1100,1.2400,110.0000,Cu_мг_кг,date2,hyper_idx,24,mixup
PLSR,0.0580,-0.1871,0.7667,1.6805,1.2151,1.0300,1.1500,110.0000,Cu_мг_кг,date2,hyper_idx,24,mixup
ElasticNet,0.0008,-0.0769,0.1735,1.7308,1.2878,1.0000,1.1100,110.0000,Cu_мг_кг,date2,hyper_idx,24,mixup
ElasticNet,-0.0169,-0.0607,0.0450,1.6625,1.2058,0.9900,0.9900,55.0000,Cu_мг_кг,date2,pca,10,none
SVR,-0.1182,-0.0881,0.1930,1.7434,1.2155,0.9500,0.9400,55.0000,Cu_мг_кг,date2,pca,10,none
RF,-0.2323,-0.3037,0.3039,1.8302,1.3284,0.9000,0.9000,55.0000,Cu_мг_кг,date2,pca,10,none
XGBoost,-0.2466,-0.2577,0.3997,1.8407,1.3318,0.9000,0.8900,55.0000,Cu_мг_кг,date2,pca,10,none
GBR,-0.2501,-0.3504,0.6415,1.8433,1.4401,0.8900,0.8900,55.0000,Cu_мг_кг,date2,pca,10,none
PLSR,-5111.5250,-8779.6958,17505.5790,117.8815,20.6940,0.0100,0.0100,55.0000,Cu_мг_кг,date2,pca,10,none
ElasticNet,-0.0068,-0.0430,0.0286,1.6542,1.1862,1.0000,0.9900,55.0000,Cu_мг_кг,date2,combined,91,none
SVR,-0.0748,-0.0558,0.1968,1.7092,1.1863,0.9600,0.9600,55.0000,Cu_мг_кг,date2,combined,91,none
GBR,-0.3669,-0.5915,0.8222,1.9275,1.3772,0.8600,0.8500,55.0000,Cu_мг_кг,date2,combined,91,none
RF,-0.4368,-0.5953,0.4143,1.9762,1.3394,0.8300,0.8300,55.0000,Cu_мг_кг,date2,combined,91,none
XGBoost,-0.8384,-1.1751,0.8217,2.2354,1.6022,0.7400,0.7300,55.0000,Cu_мг_кг,date2,combined,91,none
PLSR,-1.9451,-3.2908,4.9897,2.8293,1.8901,0.5800,0.5800,55.0000,Cu_мг_кг,date2,combined,91,none
GBR,0.4078,0.3508,0.3787,1.3324,0.7316,1.3000,1.4500,110.0000,Cu_мг_кг,date2,combined,91,mixup
RF,0.3596,0.2412,0.5338,1.3856,0.8595,1.2500,1.3900,110.0000,Cu_мг_кг,date2,combined,91,mixup
PLSR,0.2926,0.0311,0.7754,1.4563,1.0234,1.1900,1.3200,110.0000,Cu_мг_кг,date2,combined,91,mixup
XGBoost,0.1862,0.0589,0.6393,1.5620,0.8379,1.1100,1.2300,110.0000,Cu_мг_кг,date2,combined,91,mixup
SVR,0.1439,0.1185,0.1723,1.6021,1.0343,1.0800,1.2000,110.0000,Cu_мг_кг,date2,combined,91,mixup
ElasticNet,0.0261,-0.0417,0.1662,1.7087,1.2640,1.0100,1.1300,110.0000,Cu_мг_кг,date2,combined,91,mixup
Stacking,-0.0015,,,1.6499,,1.0000,,,Cu_мг_кг,date2,combined,91,none
SVR,-0.0875,-0.1925,0.1864,6.0965,4.3072,0.9600,1.2800,55.0000,Zn_мг_кг,date2,smooth_300,300,none
ElasticNet,-0.1674,-0.3711,0.2697,6.3164,4.6002,0.9300,1.2300,55.0000,Zn_мг_кг,date2,smooth_300,300,none
RF,-0.3125,-0.4711,0.2606,6.6977,4.6556,0.8700,1.1600,55.0000,Zn_мг_кг,date2,smooth_300,300,none
GBR,-0.4892,-0.7901,0.3176,7.1341,5.0746,0.8200,1.0900,55.0000,Zn_мг_кг,date2,smooth_300,300,none
XGBoost,-0.4976,-0.9084,0.5001,7.1542,5.0223,0.8200,1.0900,55.0000,Zn_мг_кг,date2,smooth_300,300,none
PLSR,-284.5070,-639.9200,1277.6465,98.7814,19.8567,0.0600,0.0800,55.0000,Zn_мг_кг,date2,smooth_300,300,none
SVR,-0.1272,-0.2371,0.1766,6.2067,4.4519,0.9400,1.2600,55.0000,Zn_мг_кг,date2,d1snv_300,300,none
ElasticNet,-0.1324,-0.2813,0.1993,6.2212,4.4957,0.9400,1.2500,55.0000,Zn_мг_кг,date2,d1snv_300,300,none
RF,-0.3850,-0.7393,0.3782,6.8801,5.3050,0.8500,1.1300,55.0000,Zn_мг_кг,date2,d1snv_300,300,none
GBR,-0.8363,-1.7385,1.7269,7.9221,5.6678,0.7400,0.9800,55.0000,Zn_мг_кг,date2,d1snv_300,300,none
XGBoost,-1.4088,-3.1457,4.7735,9.0733,6.2866,0.6400,0.8600,55.0000,Zn_мг_кг,date2,d1snv_300,300,none
PLSR,-64.7929,-144.5565,280.9652,47.4194,14.1402,0.1200,0.1600,55.0000,Zn_мг_кг,date2,d1snv_300,300,none
SVR,-0.1057,-0.2114,0.2182,6.1473,4.3829,0.9500,1.2700,55.0000,Zn_мг_кг,date2,cwt,45,none
ElasticNet,-0.2623,-0.5572,0.4833,6.5681,4.7263,0.8900,1.1900,55.0000,Zn_мг_кг,date2,cwt,45,none
RF,-0.4401,-0.6255,0.3419,7.0155,5.0094,0.8300,1.1100,55.0000,Zn_мг_кг,date2,cwt,45,none
GBR,-0.8056,-1.3594,0.6407,7.8555,5.8351,0.7400,0.9900,55.0000,Zn_мг_кг,date2,cwt,45,none
XGBoost,-1.0369,-1.8210,1.3520,8.3435,6.0346,0.7000,0.9300,55.0000,Zn_мг_кг,date2,cwt,45,none
PLSR,-2.2842,-5.2869,9.5000,10.5945,5.9647,0.5500,0.7400,55.0000,Zn_мг_кг,date2,cwt,45,none
PLSR,0.1020,-0.1392,0.4093,6.1497,4.2227,1.0600,1.2400,110.0000,Zn_мг_кг,date2,cwt,45,mixup
RF,-0.0136,0.0107,0.1880,6.5337,3.8773,0.9900,1.1600,110.0000,Zn_мг_кг,date2,cwt,45,mixup
ElasticNet,-0.0140,-0.0224,0.0573,6.5349,4.6215,0.9900,1.1600,110.0000,Zn_мг_кг,date2,cwt,45,mixup
SVR,-0.0324,-0.0362,0.1122,6.5940,4.6864,0.9800,1.1500,110.0000,Zn_мг_кг,date2,cwt,45,mixup
GBR,-0.1222,-0.0991,0.1510,6.8747,3.6913,0.9400,1.1100,110.0000,Zn_мг_кг,date2,cwt,45,mixup
XGBoost,-0.3649,-0.3557,0.3279,7.5818,4.0153,0.8600,1.0000,110.0000,Zn_мг_кг,date2,cwt,45,mixup
SVR,-0.0776,-0.1923,0.1908,6.0687,4.2988,0.9600,1.2900,55.0000,Zn_мг_кг,date2,shape,12,none
ElasticNet,-0.1625,-0.3591,0.2798,6.3033,4.5899,0.9300,1.2400,55.0000,Zn_мг_кг,date2,shape,12,none
RF,-0.2378,-0.4455,0.4282,6.5041,4.5949,0.9000,1.2000,55.0000,Zn_мг_кг,date2,shape,12,none
GBR,-0.4888,-0.9602,1.4249,7.1333,4.6343,0.8200,1.0900,55.0000,Zn_мг_кг,date2,shape,12,none
XGBoost,-0.6443,-1.0213,1.1219,7.4964,4.8423,0.7800,1.0400,55.0000,Zn_мг_кг,date2,shape,12,none
PLSR,-8.0868,-17.7148,32.0286,17.6227,7.7961,0.3300,0.4400,55.0000,Zn_мг_кг,date2,shape,12,none
GBR,0.2910,0.4034,0.2383,5.4646,2.9732,1.1900,1.3900,110.0000,Zn_мг_кг,date2,shape,12,mixup
XGBoost,0.2719,0.3549,0.2097,5.5374,2.9361,1.1700,1.3700,110.0000,Zn_мг_кг,date2,shape,12,mixup
RF,0.1300,0.2497,0.2861,6.0533,3.4871,1.0700,1.2600,110.0000,Zn_мг_кг,date2,shape,12,mixup
SVR,0.0057,0.0205,0.1548,6.4713,4.4760,1.0000,1.1800,110.0000,Zn_мг_кг,date2,shape,12,mixup
ElasticNet,-0.0131,-0.0343,0.0415,6.5319,4.6542,0.9900,1.1600,110.0000,Zn_мг_кг,date2,shape,12,mixup
PLSR,-0.0681,-0.1728,0.2376,6.7070,4.5901,0.9700,1.1300,110.0000,Zn_мг_кг,date2,shape,12,mixup
ElasticNet,-0.1182,-0.2215,0.3480,6.1819,4.4059,0.9500,1.2600,55.0000,Zn_мг_кг,date2,hyper_idx,24,none
SVR,-0.1452,-0.2662,0.1756,6.2562,4.4150,0.9300,1.2500,55.0000,Zn_мг_кг,date2,hyper_idx,24,none
RF,-0.4822,-0.7606,0.4159,7.1173,5.0693,0.8200,1.1000,55.0000,Zn_мг_кг,date2,hyper_idx,24,none
GBR,-0.7957,-1.2180,0.7410,7.8340,5.3386,0.7500,1.0000,55.0000,Zn_мг_кг,date2,hyper_idx,24,none
XGBoost,-1.2026,-2.1610,1.3311,8.6763,5.9280,0.6700,0.9000,55.0000,Zn_мг_кг,date2,hyper_idx,24,none
PLSR,-5.7022,-12.5493,21.0636,15.1348,7.9133,0.3900,0.5200,55.0000,Zn_мг_кг,date2,hyper_idx,24,none
GBR,0.2204,0.2125,0.6491,5.7302,2.6095,1.1300,1.3300,110.0000,Zn_мг_кг,date2,hyper_idx,24,mixup
XGBoost,0.1997,0.0660,0.9358,5.8055,2.8456,1.1200,1.3100,110.0000,Zn_мг_кг,date2,hyper_idx,24,mixup
RF,0.1283,0.1275,0.6676,6.0591,3.0956,1.0700,1.2600,110.0000,Zn_мг_кг,date2,hyper_idx,24,mixup
ElasticNet,0.0783,0.0744,0.0831,6.2302,4.3126,1.0400,1.2200,110.0000,Zn_мг_кг,date2,hyper_idx,24,mixup
SVR,0.0736,0.0588,0.0818,6.2462,4.2188,1.0400,1.2200,110.0000,Zn_мг_кг,date2,hyper_idx,24,mixup
PLSR,-0.0040,-0.3321,0.6405,6.5025,4.2303,1.0000,1.1700,110.0000,Zn_мг_кг,date2,hyper_idx,24,mixup
SVR,-0.0965,-0.2175,0.1861,6.1216,4.3823,0.9500,1.2700,55.0000,Zn_мг_кг,date2,pca,10,none
ElasticNet,-0.1669,-0.3757,0.2329,6.3151,4.6441,0.9300,1.2400,55.0000,Zn_мг_кг,date2,pca,10,none
RF,-0.2312,-0.5764,0.2781,6.4868,5.0061,0.9000,1.2000,55.0000,Zn_мг_кг,date2,pca,10,none
XGBoost,-0.3353,-0.8777,0.5843,6.7554,5.4994,0.8700,1.1500,55.0000,Zn_мг_кг,date2,pca,10,none
GBR,-0.4022,-1.0762,0.7821,6.9226,5.5402,0.8400,1.1300,55.0000,Zn_мг_кг,date2,pca,10,none
PLSR,-2454.1707,-5518.2839,11021.0294,289.6726,49.0697,0.0200,0.0300,55.0000,Zn_мг_кг,date2,pca,10,none
SVR,-0.0964,-0.2055,0.1807,6.1215,4.3732,0.9600,1.2700,55.0000,Zn_мг_кг,date2,combined,91,none
ElasticNet,-0.2458,-0.4867,0.2549,6.5251,4.7488,0.9000,1.2000,55.0000,Zn_мг_кг,date2,combined,91,none
GBR,-0.3389,-0.7173,0.3971,6.7646,5.1662,0.8600,1.1500,55.0000,Zn_мг_кг,date2,combined,91,none
RF,-0.3452,-0.6227,0.1967,6.7805,5.0076,0.8600,1.1500,55.0000,Zn_мг_кг,date2,combined,91,none
XGBoost,-0.5481,-1.2917,1.2808,7.2739,5.2663,0.8000,1.0700,55.0000,Zn_мг_кг,date2,combined,91,none
PLSR,-3.2186,-5.7747,3.3787,12.0074,8.9340,0.4900,0.6500,55.0000,Zn_мг_кг,date2,combined,91,none
XGBoost,0.2933,0.2875,0.3398,5.4557,2.9171,1.1900,1.3900,110.0000,Zn_мг_кг,date2,combined,91,mixup
GBR,0.2916,0.3563,0.3424,5.4619,2.6072,1.1900,1.3900,110.0000,Zn_мг_кг,date2,combined,91,mixup
RF,0.2554,0.3210,0.2807,5.6000,3.0879,1.1600,1.3600,110.0000,Zn_мг_кг,date2,combined,91,mixup
ElasticNet,0.0828,0.0593,0.0903,6.2153,4.2303,1.0400,1.2200,110.0000,Zn_мг_кг,date2,combined,91,mixup
SVR,0.0273,0.0313,0.0534,6.4003,4.4017,1.0100,1.1900,110.0000,Zn_мг_кг,date2,combined,91,mixup
PLSR,0.0077,-0.4558,0.8663,6.4648,4.1183,1.0000,1.1800,110.0000,Zn_мг_кг,date2,combined,91,mixup
Stacking,-0.1772,,,6.3431,,0.9200,,,Zn_мг_кг,date2,combined,91,none
ElasticNet,-0.0598,-0.2434,0.3339,0.3205,0.2535,0.9700,1.2800,24.0000,Co_мг_кг,date2,smooth_300,300,none
SVR,-0.1827,-0.3966,0.4483,0.3385,0.2771,0.9200,1.2100,24.0000,Co_мг_кг,date2,smooth_300,300,none
RF,-0.5932,-0.8473,0.4955,0.3929,0.3227,0.7900,1.0400,24.0000,Co_мг_кг,date2,smooth_300,300,none
GBR,-1.0337,-1.6894,1.6718,0.4439,0.3778,0.7000,0.9200,24.0000,Co_мг_кг,date2,smooth_300,300,none
XGBoost,-1.5158,-1.9682,1.2752,0.4938,0.3921,0.6300,0.8300,24.0000,Co_мг_кг,date2,smooth_300,300,none
PLSR,-3.4087,-5.4148,4.9635,0.6536,0.5263,0.4800,0.6300,24.0000,Co_мг_кг,date2,smooth_300,300,none
ElasticNet,-0.0598,-0.2434,0.3339,0.3205,0.2535,0.9700,1.2800,24.0000,Co_мг_кг,date2,d1snv_300,300,none
SVR,-0.1132,-0.3102,0.4131,0.3285,0.2619,0.9500,1.2500,24.0000,Co_мг_кг,date2,d1snv_300,300,none
RF,-0.4096,-0.6942,0.4520,0.3696,0.3009,0.8400,1.1100,24.0000,Co_мг_кг,date2,d1snv_300,300,none
GBR,-0.7808,-1.0953,0.9222,0.4154,0.3108,0.7500,0.9900,24.0000,Co_мг_кг,date2,d1snv_300,300,none
PLSR,-0.8232,-1.0527,0.7078,0.4203,0.3353,0.7400,0.9800,24.0000,Co_мг_кг,date2,d1snv_300,300,none
XGBoost,-0.9455,-1.6122,1.0287,0.4342,0.3468,0.7200,0.9400,24.0000,Co_мг_кг,date2,d1snv_300,300,none
ElasticNet,-0.0598,-0.2434,0.3339,0.3205,0.2535,0.9700,1.2800,24.0000,Co_мг_кг,date2,cwt,45,none
SVR,-0.1247,-0.1976,0.1704,0.3301,0.2575,0.9400,1.2400,24.0000,Co_мг_кг,date2,cwt,45,none
RF,-0.1292,-0.2697,0.5200,0.3308,0.2539,0.9400,1.2400,24.0000,Co_мг_кг,date2,cwt,45,none
GBR,-0.2253,-0.5623,0.8764,0.3446,0.2715,0.9000,1.1900,24.0000,Co_мг_кг,date2,cwt,45,none
XGBoost,-0.3504,-0.7663,0.7838,0.3618,0.2911,0.8600,1.1300,24.0000,Co_мг_кг,date2,cwt,45,none
PLSR,-4.5006,-4.7765,2.2535,0.7301,0.5719,0.4300,0.5600,24.0000,Co_мг_кг,date2,cwt,45,none
GBR,0.2953,0.3119,0.2852,0.2439,0.1613,1.1900,1.7800,48.0000,Co_мг_кг,date2,cwt,45,mixup
RF,0.2205,0.2602,0.3484,0.2566,0.1868,1.1300,1.6900,48.0000,Co_мг_кг,date2,cwt,45,mixup
XGBoost,0.1721,0.2063,0.4082,0.2644,0.1704,1.1000,1.6400,48.0000,Co_мг_кг,date2,cwt,45,mixup
SVR,0.1277,0.1385,0.3021,0.2714,0.2074,1.0700,1.6000,48.0000,Co_мг_кг,date2,cwt,45,mixup
ElasticNet,-0.0343,-0.1335,0.1479,0.2955,0.2449,0.9800,1.4700,48.0000,Co_мг_кг,date2,cwt,45,mixup
PLSR,-7.4629,-10.3938,18.0505,0.8453,0.4007,0.3400,0.5100,48.0000,Co_мг_кг,date2,cwt,45,mixup
SVR,0.0551,-0.0185,0.2495,0.3026,0.2231,1.0300,1.3500,24.0000,Co_мг_кг,date2,shape,12,none
ElasticNet,-0.0598,-0.2434,0.3339,0.3205,0.2535,0.9700,1.2800,24.0000,Co_мг_кг,date2,shape,12,none
RF,-0.1171,-0.1323,0.3147,0.3290,0.2683,0.9500,1.2500,24.0000,Co_мг_кг,date2,shape,12,none
XGBoost,-0.2676,-0.4323,0.8238,0.3505,0.2771,0.8900,1.1700,24.0000,Co_мг_кг,date2,shape,12,none
GBR,-0.2780,-0.4200,0.9082,0.3519,0.2800,0.8800,1.1700,24.0000,Co_мг_кг,date2,shape,12,none
PLSR,-0.6908,-1.1871,0.7906,0.4048,0.3372,0.7700,1.0100,24.0000,Co_мг_кг,date2,shape,12,none
SVR,0.4373,0.4585,0.1852,0.2180,0.1634,1.3300,1.9900,48.0000,Co_мг_кг,date2,shape,12,mixup
RF,0.4203,0.4064,0.1501,0.2212,0.1654,1.3100,1.9600,48.0000,Co_мг_кг,date2,shape,12,mixup
