model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,feature_set,n_features,augmented
PLSR,-0.2282,-0.2346,0.5394,0.0575,0.0432,0.9000,1.2200,100.0000,S_%,date1,pca,10,none
ElasticNet,-0.0078,-0.0236,0.0278,0.0521,0.0413,1.0000,1.3400,100.0000,S_%,date1,poly,20,none
RF,-0.0829,-0.1168,0.3487,0.0540,0.0420,0.9600,1.3000,100.0000,S_%,date1,poly,20,none
SVR,-0.1085,-0.0792,0.2924,0.0546,0.0415,0.9500,1.2800,100.0000,S_%,date1,poly,20,none
GBR,-0.1632,-0.1740,0.3950,0.0559,0.0439,0.9300,1.2500,100.0000,S_%,date1,poly,20,none
XGBoost,-0.2880,-0.3567,0.4806,0.0589,0.0467,0.8800,1.1900,100.0000,S_%,date1,poly,20,none
PLSR,-0.5742,-0.5303,0.7918,0.0651,0.0456,0.8000,1.0800,100.0000,S_%,date1,poly,20,none
RF,0.0512,0.0274,0.3054,0.0505,0.0385,1.0300,1.3900,100.0000,S_%,date1,combined,74,none
GBR,0.0333,0.0092,0.2475,0.0510,0.0398,1.0200,1.3700,100.0000,S_%,date1,combined,74,none
ElasticNet,-0.0078,-0.0236,0.0278,0.0521,0.0413,1.0000,1.3400,100.0000,S_%,date1,combined,74,none
XGBoost,-0.2361,-0.2710,0.4404,0.0577,0.0436,0.9000,1.2100,100.0000,S_%,date1,combined,74,none
SVR,-0.2483,-0.2641,0.3981,0.0580,0.0458,0.9000,1.2100,100.0000,S_%,date1,combined,74,none
PLSR,-0.5191,-0.4648,0.8938,0.0639,0.0447,0.8100,1.0900,100.0000,S_%,date1,combined,74,none
GBR,0.5711,0.5375,0.1049,0.0313,0.0207,1.5300,1.9900,200.0000,S_%,date1,combined,74,mixup
XGBoost,0.5660,0.5447,0.1361,0.0315,0.0199,1.5200,1.9800,200.0000,S_%,date1,combined,74,mixup
RF,0.5645,0.5648,0.0627,0.0316,0.0214,1.5200,1.9800,200.0000,S_%,date1,combined,74,mixup
ElasticNet,-0.0011,-0.0031,0.0015,0.0478,0.0372,1.0000,1.3100,200.0000,S_%,date1,combined,74,mixup
SVR,-0.0724,-0.1401,0.2766,0.0495,0.0411,0.9700,1.2600,200.0000,S_%,date1,combined,74,mixup
GBR,0.6571,0.6479,0.2798,0.0299,0.0157,1.7100,2.3400,200.0000,S_%,date1,combined,74,noise
XGBoost,0.6498,0.6403,0.2140,0.0302,0.0165,1.6900,2.3200,200.0000,S_%,date1,combined,74,noise
RF,0.6074,0.6072,0.2964,0.0320,0.0188,1.6000,2.1900,200.0000,S_%,date1,combined,74,noise
ElasticNet,-0.0084,-0.0239,0.0265,0.0512,0.0408,1.0000,1.3700,200.0000,S_%,date1,combined,74,noise
SVR,-0.1675,-0.2162,0.3713,0.0551,0.0460,0.9300,1.2700,200.0000,S_%,date1,combined,74,noise
GBR,0.0402,0.0041,0.3652,0.0508,0.0397,1.0200,1.3800,100.0000,S_%,date1,rf_selected,20,none
RF,0.0256,-0.0007,0.4206,0.0512,0.0398,1.0100,1.3700,100.0000,S_%,date1,rf_selected,20,none
ElasticNet,-0.0078,-0.0236,0.0278,0.0521,0.0413,1.0000,1.3400,100.0000,S_%,date1,rf_selected,20,none
SVR,-0.1792,-0.1933,0.4482,0.0563,0.0443,0.9200,1.2400,100.0000,S_%,date1,rf_selected,20,none
XGBoost,-0.2410,-0.3286,0.6567,0.0578,0.0449,0.9000,1.2100,100.0000,S_%,date1,rf_selected,20,none
PLSR,-0.9426,-0.8267,1.7925,0.0723,0.0435,0.7200,0.9700,100.0000,S_%,date1,rf_selected,20,none
RF,0.5211,0.4941,0.1020,0.0331,0.0237,1.4400,1.8900,200.0000,S_%,date1,rf_selected,20,mixup
XGBoost,0.4967,0.4451,0.2034,0.0339,0.0231,1.4100,1.8400,200.0000,S_%,date1,rf_selected,20,mixup
GBR,0.4883,0.4652,0.1017,0.0342,0.0234,1.4000,1.8300,200.0000,S_%,date1,rf_selected,20,mixup
ElasticNet,-0.0011,-0.0031,0.0015,0.0478,0.0372,1.0000,1.3100,200.0000,S_%,date1,rf_selected,20,mixup
SVR,-0.0787,-0.1504,0.3000,0.0497,0.0415,0.9600,1.2600,200.0000,S_%,date1,rf_selected,20,mixup
Stacking,0.1076,,,0.0490,,1.0600,,,S_%,date1,combined,74,none
ElasticNet,-0.0347,-0.1765,0.2952,2324.3108,1729.9741,0.9800,1.0900,100.0000,Нитраты_мг_кг,date1,bands,5,none
SVR,-0.1252,-0.1653,0.1562,2423.8175,1625.3373,0.9400,1.0400,100.0000,Нитраты_мг_кг,date1,bands,5,none
PLSR,-0.1601,-0.2961,0.4408,2461.1461,1739.1717,0.9300,1.0300,100.0000,Нитраты_мг_кг,date1,bands,5,none
RF,-0.2051,-0.4220,0.4002,2508.4802,1888.9465,0.9100,1.0100,100.0000,Нитраты_мг_кг,date1,bands,5,none
GBR,-0.2994,-0.5518,0.5056,2604.7230,1898.2421,0.8800,0.9700,100.0000,Нитраты_мг_кг,date1,bands,5,none
XGBoost,-0.5865,-1.0418,0.9757,2878.1749,2181.0389,0.7900,0.8800,100.0000,Нитраты_мг_кг,date1,bands,5,none
PLSR,0.0390,-0.2431,0.7917,2239.9967,1635.5264,1.0200,1.1300,100.0000,Нитраты_мг_кг,date1,indices,44,none
ElasticNet,-0.0208,-0.1716,0.3578,2308.7264,1746.0840,0.9900,1.0900,100.0000,Нитраты_мг_кг,date1,indices,44,none
RF,-0.0779,-0.3300,0.6248,2372.3170,1696.8851,0.9600,1.0600,100.0000,Нитраты_мг_кг,date1,indices,44,none
SVR,-0.1259,-0.1661,0.1565,2424.6128,1625.1412,0.9400,1.0400,100.0000,Нитраты_мг_кг,date1,indices,44,none
GBR,-0.1797,-0.4846,0.7824,2481.8631,1795.3050,0.9200,1.0200,100.0000,Нитраты_мг_кг,date1,indices,44,none
XGBoost,-0.4079,-0.8111,0.8982,2711.3285,1950.5366,0.8400,0.9300,100.0000,Нитраты_мг_кг,date1,indices,44,none
RF,0.3863,0.3717,0.2477,1620.1789,1098.1070,1.2800,1.4700,200.0000,Нитраты_мг_кг,date1,indices,44,mixup
XGBoost,0.3463,0.2677,0.4619,1672.1692,972.8930,1.2400,1.4300,200.0000,Нитраты_мг_кг,date1,indices,44,mixup
GBR,0.3408,0.2853,0.3231,1679.1593,1072.9503,1.2300,1.4200,200.0000,Нитраты_мг_кг,date1,indices,44,mixup
ElasticNet,0.0751,0.0568,0.0530,1988.9673,1558.0932,1.0400,1.2000,200.0000,Нитраты_мг_кг,date1,indices,44,mixup
SVR,-0.0819,-0.0885,0.0755,2151.1785,1561.0284,0.9600,1.1100,200.0000,Нитраты_мг_кг,date1,indices,44,mixup
PLSR,0.0129,-0.2726,0.7932,2270.2894,1685.7164,1.0100,1.1100,100.0000,Нитраты_мг_кг,date1,bands_idx,49,none
ElasticNet,-0.0117,-0.1666,0.3823,2298.3176,1733.5898,0.9900,1.1000,100.0000,Нитраты_мг_кг,date1,bands_idx,49,none
RF,-0.0988,-0.3584,0.6443,2395.2378,1712.4211,0.9500,1.0500,100.0000,Нитраты_мг_кг,date1,bands_idx,49,none
SVR,-0.1258,-0.1660,0.1564,2424.4952,1625.1791,0.9400,1.0400,100.0000,Нитраты_мг_кг,date1,bands_idx,49,none
GBR,-0.2528,-0.5618,0.7267,2557.6410,1841.0751,0.8900,0.9900,100.0000,Нитраты_мг_кг,date1,bands_idx,49,none
XGBoost,-0.3271,-0.6307,0.7897,2632.3621,1857.9783,0.8700,0.9600,100.0000,Нитраты_мг_кг,date1,bands_idx,49,none
GBR,0.3821,0.3463,0.2650,1625.6793,1039.6819,1.2700,1.4700,200.0000,Нитраты_мг_кг,date1,bands_idx,49,mixup
RF,0.3783,0.3692,0.2189,1630.6449,1098.9214,1.2700,1.4600,200.0000,Нитраты_мг_кг,date1,bands_idx,49,mixup
XGBoost,0.3778,0.3315,0.3035,1631.3029,1018.5099,1.2700,1.4600,200.0000,Нитраты_мг_кг,date1,bands_idx,49,mixup
ElasticNet,0.0848,0.0636,0.0612,1978.5479,1544.9049,1.0500,1.2100,200.0000,Нитраты_мг_кг,date1,bands_idx,49,mixup
SVR,-0.0817,-0.0883,0.0755,2150.9896,1560.9273,0.9600,1.1100,200.0000,Нитраты_мг_кг,date1,bands_idx,49,mixup
PLSR,0.0006,-0.2294,0.6142,2284.3339,1723.8475,1.0000,1.1000,100.0000,Нитраты_мг_кг,date1,pca,10,none
ElasticNet,-0.0006,-0.1605,0.3743,2285.7548,1707.4057,1.0000,1.1000,100.0000,Нитраты_мг_кг,date1,pca,10,none
RF,-0.1216,-0.3271,0.4450,2419.9883,1819.3130,0.9400,1.0400,100.0000,Нитраты_мг_кг,date1,pca,10,none
SVR,-0.1258,-0.1659,0.1563,2424.5123,1624.8797,0.9400,1.0400,100.0000,Нитраты_мг_кг,date1,pca,10,none
GBR,-0.3701,-0.7155,0.7339,2674.6351,1956.3064,0.8500,0.9400,100.0000,Нитраты_мг_кг,date1,pca,10,none
XGBoost,-0.4102,-0.6488,0.5318,2713.4807,1862.1780,0.8400,0.9300,100.0000,Нитраты_мг_кг,date1,pca,10,none
ElasticNet,-0.0428,-0.1986,0.3508,2333.4493,1731.8271,0.9800,1.0800,100.0000,Нитраты_мг_кг,date1,poly,20,none
SVR,-0.1251,-0.1652,0.1562,2423.7577,1625.3464,0.9400,1.0400,100.0000,Нитраты_мг_кг,date1,poly,20,none
RF,-0.2171,-0.4937,0.5339,2520.9028,1924.1871,0.9100,1.0000,100.0000,Нитраты_мг_кг,date1,poly,20,none
GBR,-0.4301,-0.7188,0.5272,2732.5852,1989.3805,0.8400,0.9200,100.0000,Нитраты_мг_кг,date1,poly,20,none
PLSR,-0.4916,-0.8764,1.1473,2790.7317,1974.4592,0.8200,0.9000,100.0000,Нитраты_мг_кг,date1,poly,20,none
XGBoost,-0.6044,-0.9213,0.5860,2894.3307,2246.3810,0.7900,0.8700,100.0000,Нитраты_мг_кг,date1,poly,20,none
ElasticNet,0.0127,-0.1751,0.4781,2270.4311,1700.2886,1.0100,1.1100,100.0000,Нитраты_мг_кг,date1,combined,74,none
SVR,-0.1256,-0.1658,0.1564,2424.2771,1625.1606,0.9400,1.0400,100.0000,Нитраты_мг_кг,date1,combined,74,none
RF,-0.1270,-0.3718,0.5354,2425.8167,1794.5280,0.9400,1.0400,100.0000,Нитраты_мг_кг,date1,combined,74,none
XGBoost,-0.1994,-0.3769,0.3929,2502.4855,1781.5543,0.9100,1.0100,100.0000,Нитраты_мг_кг,date1,combined,74,none
GBR,-0.3610,-0.7814,1.0337,2665.7388,1944.4065,0.8600,0.9500,100.0000,Нитраты_мг_кг,date1,combined,74,none
PLSR,-2.6397,-2.4468,3.7391,4359.3675,2164.6710,0.5200,0.5800,100.0000,Нитраты_мг_кг,date1,combined,74,none
RF,0.4033,0.4130,0.1784,1597.5895,1062.7484,1.2900,1.5000,200.0000,Нитраты_мг_кг,date1,combined,74,mixup
GBR,0.3779,0.3508,0.2426,1631.2083,995.3694,1.2700,1.4600,200.0000,Нитраты_мг_кг,date1,combined,74,mixup
XGBoost,0.3769,0.3505,0.2495,1632.5174,977.0720,1.2700,1.4600,200.0000,Нитраты_мг_кг,date1,combined,74,mixup
ElasticNet,0.1530,0.1386,0.0814,1903.3371,1451.3019,1.0900,1.2500,200.0000,Нитраты_мг_кг,date1,combined,74,mixup
SVR,-0.0813,-0.0879,0.0755,2150.5974,1560.5229,0.9600,1.1100,200.0000,Нитраты_мг_кг,date1,combined,74,mixup
RF,0.5498,0.5424,0.0878,1458.7929,899.5992,1.4900,1.7100,200.0000,Нитраты_мг_кг,date1,combined,74,noise
GBR,0.5187,0.5106,0.2142,1508.2303,792.5558,1.4400,1.6500,200.0000,Нитраты_мг_кг,date1,combined,74,noise
XGBoost,0.5105,0.5096,0.2565,1521.1267,820.0802,1.4300,1.6400,200.0000,Нитраты_мг_кг,date1,combined,74,noise
ElasticNet,0.1346,0.1029,0.0889,2022.3904,1519.6174,1.0700,1.2300,200.0000,Нитраты_мг_кг,date1,combined,74,noise
SVR,-0.1127,-0.1207,0.1244,2293.3227,1579.9124,0.9500,1.0900,200.0000,Нитраты_мг_кг,date1,combined,74,noise
ElasticNet,-0.0122,-0.1688,0.3891,2298.9533,1730.0070,0.9900,1.1000,100.0000,Нитраты_мг_кг,date1,rf_selected,20,none
RF,-0.0696,-0.3121,0.5887,2363.2333,1684.5153,0.9700,1.0700,100.0000,Нитраты_мг_кг,date1,rf_selected,20,none
SVR,-0.1254,-0.1655,0.1565,2424.0463,1624.8166,0.9400,1.0400,100.0000,Нитраты_мг_кг,date1,rf_selected,20,none
GBR,-0.1889,-0.4841,0.6766,2491.5355,1792.8678,0.9200,1.0100,100.0000,Нитраты_мг_кг,date1,rf_selected,20,none
PLSR,-0.2106,-0.4766,0.8150,2514.1953,1761.5449,0.9100,1.0000,100.0000,Нитраты_мг_кг,date1,rf_selected,20,none
XGBoost,-0.3360,-0.6183,0.7552,2641.1358,1877.7494,0.8700,0.9600,100.0000,Нитраты_мг_кг,date1,rf_selected,20,none
GBR,0.4081,0.3933,0.2367,1591.1460,988.2810,1.3000,1.5000,200.0000,Нитраты_мг_кг,date1,rf_selected,20,mixup
RF,0.3854,0.3859,0.2302,1621.3844,1084.5604,1.2800,1.4700,200.0000,Нитраты_мг_кг,date1,rf_selected,20,mixup
XGBoost,0.3533,0.2815,0.3776,1663.1987,1028.5211,1.2400,1.4400,200.0000,Нитраты_мг_кг,date1,rf_selected,20,mixup
ElasticNet,0.0844,0.0637,0.0621,1978.9538,1543.6997,1.0500,1.2100,200.0000,Нитраты_мг_кг,date1,rf_selected,20,mixup
SVR,-0.0808,-0.0874,0.0753,2150.0624,1560.0197,0.9600,1.1100,200.0000,Нитраты_мг_кг,date1,rf_selected,20,mixup
Stacking,-0.0690,,,2362.6041,,0.9700,,,Нитраты_мг_кг,date1,combined,74,none
ElasticNet,-0.0539,-0.1406,0.1092,89.6288,62.9050,0.9700,1.1000,100.0000,Fe_мг_кг,date1,bands,5,none
SVR,-0.0863,-0.1476,0.1630,90.9943,61.8051,0.9600,1.0900,100.0000,Fe_мг_кг,date1,bands,5,none
RF,-0.1624,-0.3216,0.3221,94.1268,66.6105,0.9300,1.0500,100.0000,Fe_мг_кг,date1,bands,5,none
PLSR,-0.2071,-0.4083,0.3585,95.9205,68.7474,0.9100,1.0300,100.0000,Fe_мг_кг,date1,bands,5,none
XGBoost,-0.3700,-0.6036,0.4932,102.1890,73.2467,0.8500,0.9700,100.0000,Fe_мг_кг,date1,bands,5,none
GBR,-0.4893,-0.9155,0.9960,106.5442,77.8022,0.8200,0.9300,100.0000,Fe_мг_кг,date1,bands,5,none
SVR,-0.0829,-0.1407,0.1330,90.8518,62.0118,0.9600,1.0900,100.0000,Fe_мг_кг,date1,indices,44,none
ElasticNet,-0.0882,-0.2151,0.1608,91.0751,64.7792,0.9600,1.0900,100.0000,Fe_мг_кг,date1,indices,44,none
RF,-0.4555,-0.8977,0.7958,105.3279,74.7141,0.8300,0.9400,100.0000,Fe_мг_кг,date1,indices,44,none
GBR,-0.7061,-1.3295,1.0281,114.0359,82.6918,0.7700,0.8700,100.0000,Fe_мг_кг,date1,indices,44,none
XGBoost,-1.0231,-1.9014,1.7942,124.1778,88.4926,0.7000,0.8000,100.0000,Fe_мг_кг,date1,indices,44,none
PLSR,-2.7469,-4.3841,7.6381,168.9965,93.6839,0.5200,0.5800,100.0000,Fe_мг_кг,date1,indices,44,none
RF,0.0585,0.0244,0.0386,71.8516,47.2374,1.0300,1.3000,200.0000,Fe_мг_кг,date1,indices,44,mixup
ElasticNet,-0.0324,-0.0626,0.0738,75.2419,55.0149,0.9800,1.2500,200.0000,Fe_мг_кг,date1,indices,44,mixup
XGBoost,-0.0522,-0.1378,0.2625,75.9591,46.0917,0.9700,1.2300,200.0000,Fe_мг_кг,date1,indices,44,mixup
GBR,-0.0628,-0.1536,0.1204,76.3408,48.8028,0.9700,1.2300,200.0000,Fe_мг_кг,date1,indices,44,mixup
SVR,-0.0692,-0.0729,0.0521,76.5721,52.7061,0.9700,1.2200,200.0000,Fe_мг_кг,date1,indices,44,mixup
SVR,-0.0839,-0.1426,0.1377,90.8927,62.0069,0.9600,1.0900,100.0000,Fe_мг_кг,date1,bands_idx,49,none
ElasticNet,-0.1018,-0.2424,0.1899,91.6412,65.2085,0.9500,1.0800,100.0000,Fe_мг_кг,date1,bands_idx,49,none
RF,-0.4505,-0.8911,0.8568,105.1472,73.9254,0.8300,0.9400,100.0000,Fe_мг_кг,date1,bands_idx,49,none
XGBoost,-0.6437,-1.1431,1.1983,111.9309,80.0651,0.7800,0.8800,100.0000,Fe_мг_кг,date1,bands_idx,49,none
GBR,-0.9131,-1.6336,1.7895,120.7556,84.7312,0.7200,0.8200,100.0000,Fe_мг_кг,date1,bands_idx,49,none
PLSR,-2.2979,-3.6720,6.2513,158.5464,91.9566,0.5500,0.6200,100.0000,Fe_мг_кг,date1,bands_idx,49,none
RF,0.0632,0.0189,0.0993,71.6728,46.4273,1.0300,1.3100,200.0000,Fe_мг_кг,date1,bands_idx,49,mixup
ElasticNet,-0.0336,-0.0643,0.0722,75.2847,55.1986,0.9800,1.2500,200.0000,Fe_мг_кг,date1,bands_idx,49,mixup
SVR,-0.0664,-0.0695,0.0525,76.4699,52.6400,0.9700,1.2300,200.0000,Fe_мг_кг,date1,bands_idx,49,mixup
GBR,-0.1350,-0.2801,0.3223,78.8932,48.5811,0.9400,1.1900,200.0000,Fe_мг_кг,date1,bands_idx,49,mixup
XGBoost,-0.1639,-0.2782,0.3966,79.8912,46.9325,0.9300,1.1700,200.0000,Fe_мг_кг,date1,bands_idx,49,mixup
SVR,-0.0865,-0.1487,0.1509,91.0013,62.1824,0.9600,1.0900,100.0000,Fe_мг_кг,date1,pca,10,none
ElasticNet,-0.2168,-0.3795,0.2665,96.3055,69.1409,0.9100,1.0300,100.0000,Fe_мг_кг,date1,pca,10,none
RF,-0.4263,-0.6652,0.5651,104.2651,72.6193,0.8400,0.9500,100.0000,Fe_мг_кг,date1,pca,10,none
PLSR,-1.0686,-1.7469,2.4668,125.5679,83.0052,0.7000,0.7900,100.0000,Fe_мг_кг,date1,pca,10,none
GBR,-1.1424,-1.7478,1.7319,127.7877,81.5870,0.6800,0.7700,100.0000,Fe_мг_кг,date1,pca,10,none
XGBoost,-1.4539,-2.2962,1.6706,136.7640,86.8972,0.6400,0.7200,100.0000,Fe_мг_кг,date1,pca,10,none
ElasticNet,-0.0611,-0.1529,0.1219,89.9342,63.3291,0.9700,1.1000,100.0000,Fe_мг_кг,date1,poly,20,none
SVR,-0.0862,-0.1473,0.1630,90.9917,61.7908,0.9600,1.0900,100.0000,Fe_мг_кг,date1,poly,20,none
RF,-0.1591,-0.3360,0.3795,93.9925,67.2041,0.9300,1.0500,100.0000,Fe_мг_кг,date1,poly,20,none
GBR,-0.3938,-0.6446,0.4232,103.0703,75.0904,0.8500,0.9600,100.0000,Fe_мг_кг,date1,poly,20,none
XGBoost,-0.4703,-0.7218,0.3990,105.8610,77.8133,0.8200,0.9300,100.0000,Fe_мг_кг,date1,poly,20,none
PLSR,-2.2725,-3.6578,5.8458,157.9350,88.9783,0.5500,0.6300,100.0000,Fe_мг_кг,date1,poly,20,none
SVR,-0.0859,-0.1465,0.1478,90.9761,62.0011,0.9600,1.0900,100.0000,Fe_мг_кг,date1,combined,74,none
ElasticNet,-0.2403,-0.4350,0.3131,97.2310,70.1611,0.9000,1.0200,100.0000,Fe_мг_кг,date1,combined,74,none
RF,-0.4950,-0.8379,0.7819,106.7473,74.9805,0.8200,0.9300,100.0000,Fe_мг_кг,date1,combined,74,none
PLSR,-0.5225,-0.8692,0.8469,107.7246,76.3939,0.8100,0.9200,100.0000,Fe_мг_кг,date1,combined,74,none
GBR,-0.9391,-1.5014,1.4845,121.5731,84.2413,0.7200,0.8100,100.0000,Fe_мг_кг,date1,combined,74,none
XGBoost,-1.4941,-2.4592,2.5453,137.8787,91.2424,0.6300,0.7200,100.0000,Fe_мг_кг,date1,combined,74,none
RF,-0.0148,-0.0563,0.1590,74.5962,45.4239,0.9900,1.2600,200.0000,Fe_мг_кг,date1,combined,74,mixup
GBR,-0.0376,-0.0857,0.2899,75.4291,44.7014,0.9800,1.2400,200.0000,Fe_мг_кг,date1,combined,74,mixup
ElasticNet,-0.0472,-0.0782,0.0791,75.7792,55.4549,0.9800,1.2400,200.0000,Fe_мг_кг,date1,combined,74,mixup
SVR,-0.0637,-0.0658,0.0536,76.3751,52.5526,0.9700,1.2300,200.0000,Fe_мг_кг,date1,combined,74,mixup
XGBoost,-0.0783,-0.1770,0.4396,76.8942,41.1358,0.9600,1.2200,200.0000,Fe_мг_кг,date1,combined,74,mixup
GBR,0.3354,0.4076,0.2546,61.7208,32.5113,1.2300,1.4900,200.0000,Fe_мг_кг,date1,combined,74,noise
RF,0.2345,0.2598,0.1857,66.2383,37.9446,1.1400,1.3900,200.0000,Fe_мг_кг,date1,combined,74,noise
XGBoost,-0.0249,-0.1505,1.2533,76.6422,32.6349,0.9900,1.2000,200.0000,Fe_мг_кг,date1,combined,74,noise
ElasticNet,-0.0354,-0.0773,0.1793,77.0359,56.6885,0.9800,1.1900,200.0000,Fe_мг_кг,date1,combined,74,noise
SVR,-0.0661,-0.0832,0.0523,78.1696,54.7576,0.9700,1.1800,200.0000,Fe_мг_кг,date1,combined,74,noise
SVR,-0.0865,-0.1470,0.1446,91.0040,61.9973,0.9600,1.0900,100.0000,Fe_мг_кг,date1,rf_selected,20,none
ElasticNet,-0.0995,-0.2420,0.1899,91.5442,65.2199,0.9500,1.0800,100.0000,Fe_мг_кг,date1,rf_selected,20,none
RF,-0.4548,-0.8943,0.8467,105.3036,74.0502,0.8300,0.9400,100.0000,Fe_мг_кг,date1,rf_selected,20,none
XGBoost,-0.6717,-1.2075,1.3309,112.8804,78.0079,0.7700,0.8800,100.0000,Fe_мг_кг,date1,rf_selected,20,none
GBR,-1.1462,-2.0190,2.0899,127.9009,86.4299,0.6800,0.7700,100.0000,Fe_мг_кг,date1,rf_selected,20,none
PLSR,-2.2489,-3.5940,6.2283,157.3651,89.1693,0.5500,0.6300,100.0000,Fe_мг_кг,date1,rf_selected,20,none
RF,0.0859,0.0547,0.0822,70.8004,45.8851,1.0500,1.3200,200.0000,Fe_мг_кг,date1,rf_selected,20,mixup
ElasticNet,-0.0358,-0.0671,0.0701,75.3662,55.2166,0.9800,1.2400,200.0000,Fe_мг_кг,date1,rf_selected,20,mixup
XGBoost,-0.0374,-0.1253,0.3353,75.4225,44.3013,0.9800,1.2400,200.0000,Fe_мг_кг,date1,rf_selected,20,mixup
SVR,-0.0608,-0.0628,0.0552,76.2681,52.5732,0.9700,1.2300,200.0000,Fe_мг_кг,date1,rf_selected,20,mixup
GBR,-0.1064,-0.2116,0.2280,77.8905,47.9324,0.9500,1.2000,200.0000,Fe_мг_кг,date1,rf_selected,20,mixup
Stacking,-0.1761,,,94.6803,,0.9200,,,Fe_мг_кг,date1,combined,74,none
ElasticNet,0.0380,0.0240,0.0610,22.8086,16.9484,1.0200,0.9200,100.0000,Mn_мг_кг,date1,bands,5,none
PLSR,-0.0084,-0.0123,0.1070,23.3525,17.0320,1.0000,0.8900,100.0000,Mn_мг_кг,date1,bands,5,none
SVR,-0.1309,-0.1195,0.0816,24.7300,15.0370,0.9400,0.8500,100.0000,Mn_мг_кг,date1,bands,5,none
RF,-0.1401,-0.2403,0.4037,24.8313,18.3294,0.9400,0.8400,100.0000,Mn_мг_кг,date1,bands,5,none
GBR,-0.4089,-0.5994,0.7491,27.6034,19.4306,0.8400,0.7600,100.0000,Mn_мг_кг,date1,bands,5,none
XGBoost,-0.4466,-0.5685,0.5357,27.9699,18.6879,0.8300,0.7500,100.0000,Mn_мг_кг,date1,bands,5,none
ElasticNet,0.0163,0.0077,0.0693,23.0651,16.4812,1.0100,0.9100,100.0000,Mn_мг_кг,date1,indices,44,none
RF,-0.0224,-0.0552,0.1330,23.5144,16.9666,0.9900,0.8900,100.0000,Mn_мг_кг,date1,indices,44,none
PLSR,-0.1103,-0.0961,0.2421,24.5038,18.1443,0.9500,0.8500,100.0000,Mn_мг_кг,date1,indices,44,none
SVR,-0.1126,-0.1081,0.0621,24.5295,14.9175,0.9500,0.8500,100.0000,Mn_мг_кг,date1,indices,44,none
XGBoost,-0.1491,-0.2339,0.2999,24.9291,17.1220,0.9300,0.8400,100.0000,Mn_мг_кг,date1,indices,44,none
GBR,-0.4181,-0.6098,0.6975,27.6936,19.8257,0.8400,0.7500,100.0000,Mn_мг_кг,date1,indices,44,none
RF,0.1767,0.1454,0.2568,21.3345,13.8944,1.1000,0.9900,200.0000,Mn_мг_кг,date1,indices,44,mixup
ElasticNet,0.0728,0.0501,0.0875,22.6407,16.3061,1.0400,0.9300,200.0000,Mn_мг_кг,date1,indices,44,mixup
GBR,-0.0073,-0.0531,0.3070,23.5981,14.2000,1.0000,0.9000,200.0000,Mn_мг_кг,date1,indices,44,mixup
SVR,-0.0683,-0.0832,0.0380,24.3023,14.3397,0.9700,0.8700,200.0000,Mn_мг_кг,date1,indices,44,mixup
XGBoost,-0.1603,-0.1635,0.4955,25.3268,14.6217,0.9300,0.8300,200.0000,Mn_мг_кг,date1,indices,44,mixup
ElasticNet,0.0155,0.0076,0.0720,23.0747,16.7711,1.0100,0.9100,100.0000,Mn_мг_кг,date1,bands_idx,49,none
PLSR,-0.0791,-0.0692,0.1897,24.1572,17.8292,0.9600,0.8700,100.0000,Mn_мг_кг,date1,bands_idx,49,none
SVR,-0.1146,-0.1086,0.0628,24.5513,14.9206,0.9500,0.8500,100.0000,Mn_мг_кг,date1,bands_idx,49,none
RF,-0.1278,-0.1800,0.1756,24.6963,17.8549,0.9400,0.8500,100.0000,Mn_мг_кг,date1,bands_idx,49,none
GBR,-0.3848,-0.4934,0.3747,27.3665,19.4216,0.8500,0.7600,100.0000,Mn_мг_кг,date1,bands_idx,49,none
XGBoost,-0.4660,-0.6241,0.5572,28.1569,18.6368,0.8300,0.7400,100.0000,Mn_мг_кг,date1,bands_idx,49,none
RF,0.1931,0.1804,0.1978,21.1214,13.5039,1.1100,1.0000,200.0000,Mn_мг_кг,date1,bands_idx,49,mixup
ElasticNet,0.0725,0.0488,0.0935,22.6442,16.4703,1.0400,0.9300,200.0000,Mn_мг_кг,date1,bands_idx,49,mixup
GBR,-0.0529,-0.0703,0.2728,24.1269,14.4357,0.9700,0.8800,200.0000,Mn_мг_кг,date1,bands_idx,49,mixup
SVR,-0.0651,-0.0800,0.0377,24.2660,14.3310,0.9700,0.8700,200.0000,Mn_мг_кг,date1,bands_idx,49,mixup
XGBoost,-0.1534,-0.1251,0.2979,25.2512,14.2311,0.9300,0.8400,200.0000,Mn_мг_кг,date1,bands_idx,49,mixup
ElasticNet,0.0064,0.0034,0.0613,23.1804,16.7990,1.0000,0.9000,100.0000,Mn_мг_кг,date1,pca,10,none
RF,-0.0376,-0.0533,0.2898,23.6880,17.0632,0.9800,0.8800,100.0000,Mn_мг_кг,date1,pca,10,none
XGBoost,-0.1035,-0.2474,0.7163,24.4296,16.9740,0.9500,0.8600,100.0000,Mn_мг_кг,date1,pca,10,none
PLSR,-0.1081,-0.0935,0.1853,24.4805,17.8797,0.9500,0.8500,100.0000,Mn_мг_кг,date1,pca,10,none
GBR,-0.1312,-0.1746,0.3686,24.7341,17.2654,0.9400,0.8400,100.0000,Mn_мг_кг,date1,pca,10,none
SVR,-0.1380,-0.1347,0.0560,24.8080,15.1362,0.9400,0.8400,100.0000,Mn_мг_кг,date1,pca,10,none
