element,date,model,nugget,sill,range_m,fit_rmse,moran_I,moran_z,moran_p
N_%,date1,gaussian,0.0000,0.1645,21.8000,0.0151,0.0122,1.1170,0.2642
P_%,date1,exponential,0.0011,0.0057,80.4000,0.0003,0.0266,1.8400,0.0658
K_%,date1,exponential,0.1704,0.4849,77.5000,0.0296,0.0790,4.4660,0.0000
Ca_%,date1,spherical,0.0102,0.0476,392.6000,0.0023,0.1130,6.1680,0.0000
Mg_%,date1,spherical,0.0167,0.0096,30.0000,0.0016,0.1475,7.8990,0.0000
S_%,date1,exponential,0.0000,0.0024,82.0000,0.0002,0.1296,7.0010,0.0000
Нитраты_мг_кг,date1,gaussian,0.0017,5093051.9822,12.8000,535703.9553,0.0168,1.3470,0.1779
Fe_мг_кг,date1,gaussian,7280.1114,9771.2648,392.6000,1353.1431,0.0547,3.2470,0.0012
Mn_мг_кг,date1,gaussian,1477.7117,464.5335,28.7000,104.8685,0.0570,3.3620,0.0008
Cu_мг_кг,date1,gaussian,13.5231,5.8251,27.9000,1.1478,0.0720,4.0050,0.0001
Zn_мг_кг,date1,gaussian,893.2817,309.6672,30.9000,51.8685,0.0483,2.9280,0.0034
Co_мг_кг,date1,gaussian,0.2672,0.5876,365.2000,0.0432,-0.0052,0.3520,0.7246
