wl,idx,r,p,rho,n,element,prep
390.040000,0.000000,0.228913,0.092749,0.104880,55.000000,N_%,raw
392.070000,1.000000,0.215573,0.113956,0.146297,55.000000,N_%,raw
394.090000,2.000000,0.205275,0.132723,0.181221,55.000000,N_%,raw
396.120000,3.000000,0.198006,0.147305,0.191684,55.000000,N_%,raw
398.140000,4.000000,0.192940,0.158151,0.190421,55.000000,N_%,raw
400.170000,5.000000,0.189485,0.165879,0.186308,55.000000,N_%,raw
402.200000,6.000000,0.167532,0.221491,0.179345,55.000000,N_%,raw
404.220000,7.000000,0.184586,0.177302,0.176134,55.000000,N_%,raw
406.250000,8.000000,0.183867,0.179024,0.174042,55.000000,N_%,raw
408.280000,9.000000,0.201894,0.139364,0.161595,55.000000,N_%,raw
410.310000,10.000000,0.214326,0.116114,0.158636,55.000000,N_%,raw
412.350000,11.000000,0.213708,0.117195,0.150014,55.000000,N_%,raw
414.380000,12.000000,0.225497,0.097861,0.147380,55.000000,N_%,raw
416.410000,13.000000,0.219390,0.107542,0.144963,55.000000,N_%,raw
418.450000,14.000000,0.226809,0.095872,0.157518,55.000000,N_%,raw
420.480000,15.000000,0.212216,0.119835,0.161523,55.000000,N_%,raw
422.520000,16.000000,0.208339,0.126910,0.157843,55.000000,N_%,raw
424.550000,17.000000,0.205106,0.133048,0.168666,55.000000,N_%,raw
426.590000,18.000000,0.202957,0.137250,0.173717,55.000000,N_%,raw
428.630000,19.000000,0.200120,0.142946,0.174727,55.000000,N_%,raw
430.670000,20.000000,0.193363,0.157224,0.176206,55.000000,N_%,raw
432.710000,21.000000,0.201234,0.140690,0.173356,55.000000,N_%,raw
434.750000,22.000000,0.204345,0.134524,0.170939,55.000000,N_%,raw
436.790000,23.000000,0.206552,0.130277,0.168558,55.000000,N_%,raw
438.830000,24.000000,0.221880,0.103508,0.167079,55.000000,N_%,raw
440.870000,25.000000,0.215968,0.113278,0.168341,55.000000,N_%,raw
442.920000,26.000000,0.218618,0.108816,0.157734,55.000000,N_%,raw
444.960000,27.000000,0.216101,0.113053,0.154271,55.000000,N_%,raw
447.010000,28.000000,0.223321,0.101229,0.160873,55.000000,N_%,raw
449.050000,29.000000,0.216187,0.112906,0.156003,55.000000,N_%,raw
451.100000,30.000000,0.221816,0.103611,0.157518,55.000000,N_%,raw
453.150000,31.000000,0.217226,0.111144,0.157265,55.000000,N_%,raw
455.200000,32.000000,0.219063,0.108079,0.153116,55.000000,N_%,raw
457.250000,33.000000,0.221597,0.103962,0.149003,55.000000,N_%,raw
459.300000,34.000000,0.230975,0.089764,0.151998,55.000000,N_%,raw
461.350000,35.000000,0.220405,0.105884,0.146478,55.000000,N_%,raw
463.400000,36.000000,0.220759,0.105310,0.138829,55.000000,N_%,raw
465.450000,37.000000,0.220524,0.105689,0.140705,55.000000,N_%,raw
467.500000,38.000000,0.230303,0.090729,0.142437,55.000000,N_%,raw
469.560000,39.000000,0.223255,0.101333,0.146009,55.000000,N_%,raw
471.610000,40.000000,0.219618,0.107167,0.146766,55.000000,N_%,raw
473.670000,41.000000,0.218084,0.109705,0.139587,55.000000,N_%,raw
475.730000,42.000000,0.216874,0.111737,0.133670,55.000000,N_%,raw
477.780000,43.000000,0.222828,0.102004,0.134464,55.000000,N_%,raw
