wl,idx,r,p,rho,n,element,prep
544.050000,75.000000,0.293648,0.022775,0.211771,60.000000,N_%,raw
546.140000,76.000000,0.293563,0.022816,0.210382,60.000000,N_%,raw
548.220000,77.000000,0.294377,0.022424,0.207408,60.000000,N_%,raw
550.310000,78.000000,0.295483,0.021900,0.206436,60.000000,N_%,raw
552.400000,79.000000,0.296216,0.021559,0.205380,60.000000,N_%,raw
554.480000,80.000000,0.297549,0.020950,0.211215,60.000000,N_%,raw
556.570000,81.000000,0.299447,0.020108,0.207019,60.000000,N_%,raw
558.660000,82.000000,0.302201,0.018937,0.208409,60.000000,N_%,raw
560.750000,83.000000,0.305533,0.017600,0.213271,60.000000,N_%,raw
562.840000,84.000000,0.309381,0.016156,0.223136,60.000000,N_%,raw
564.930000,85.000000,0.313895,0.014592,0.234640,60.000000,N_%,raw
567.030000,86.000000,0.319133,0.012942,0.244866,60.000000,N_%,raw
569.120000,87.000000,0.324544,0.011409,0.251063,60.000000,N_%,raw
571.210000,88.000000,0.329654,0.010108,0.254814,60.000000,N_%,raw
573.310000,89.000000,0.333170,0.009289,0.262539,60.000000,N_%,raw
575.400000,90.000000,0.335070,0.008871,0.269959,60.000000,N_%,raw
577.500000,91.000000,0.336042,0.008664,0.273543,60.000000,N_%,raw
579.600000,92.000000,0.336267,0.008617,0.270042,60.000000,N_%,raw
581.700000,93.000000,0.335472,0.008785,0.273015,60.000000,N_%,raw
583.800000,94.000000,0.334164,0.009069,0.275544,60.000000,N_%,raw
585.900000,95.000000,0.332589,0.009421,0.275961,60.000000,N_%,raw
588.000000,96.000000,0.331453,0.009682,0.283602,60.000000,N_%,raw
590.100000,97.000000,0.331094,0.009766,0.286548,60.000000,N_%,raw
592.200000,98.000000,0.331672,0.009631,0.290549,60.000000,N_%,raw
594.300000,99.000000,0.332576,0.009424,0.292022,60.000000,N_%,raw
596.410000,100.000000,0.334169,0.009068,0.293995,60.000000,N_%,raw
598.510000,101.000000,0.335999,0.008673,0.292078,60.000000,N_%,raw
600.620000,102.000000,0.337546,0.008352,0.294968,60.000000,N_%,raw
602.720000,103.000000,0.339088,0.008041,0.293217,60.000000,N_%,raw
604.830000,104.000000,0.340158,0.007832,0.291022,60.000000,N_%,raw
606.940000,105.000000,0.341099,0.007652,0.285825,60.000000,N_%,raw
609.050000,106.000000,0.341565,0.007564,0.289605,60.000000,N_%,raw
611.160000,107.000000,0.341410,0.007593,0.295551,60.000000,N_%,raw
613.270000,108.000000,0.340869,0.007695,0.294217,60.000000,N_%,raw
615.380000,109.000000,0.339984,0.007866,0.293217,60.000000,N_%,raw
617.490000,110.000000,0.338976,0.008063,0.292717,60.000000,N_%,raw
619.600000,111.000000,0.337833,0.008293,0.295107,60.000000,N_%,raw
621.720000,112.000000,0.337235,0.008415,0.301470,60.000000,N_%,raw
623.830000,113.000000,0.337732,0.008314,0.300358,60.000000,N_%,raw
625.950000,114.000000,0.338482,0.008162,0.301498,60.000000,N_%,raw
628.060000,115.000000,0.340217,0.007820,0.308945,60.000000,N_%,raw
630.180000,116.000000,0.341599,0.007558,0.316253,60.000000,N_%,raw
632.300000,117.000000,0.343062,0.007288,0.320421,60.000000,N_%,raw
634.410000,118.000000,0.343699,0.007173,0.325701,60.000000,N_%,raw
636.530000,119.000000,0.343347,0.007236,0.330342,60.000000,N_%,raw
638.530000,120.000000,0.342094,0.007465,0.340095,60.000000,N_%,raw
640.770000,121.000000,0.340276,0.007809,0.336316,60.000000,N_%,raw
642.900000,122.000000,0.338711,0.008116,0.327841,60.000000,N_%,raw
645.020000,123.000000,0.337836,0.008292,0.325090,60.000000,N_%,raw
647.140000,124.000000,0.337701,0.008320,0.327452,60.000000,N_%,raw
