feature,element,pearson_r,p_value,abs_r
Blue_w1_mean,N_%,0.3006,0.0028,0.3006
Blue_w1_mean,P_%,0.1159,0.2584,0.1159
Blue_w1_mean,K_%,0.1933,0.0579,0.1933
Blue_w1_mean,Ca_%,-0.0223,0.8284,0.0223
Blue_w1_mean,Mg_%,0.0095,0.9266,0.0095
Blue_w1_mean,S_%,0.2047,0.0443,0.2047
Blue_w1_mean,Нитраты_мг_кг,0.0571,0.5803,0.0571
Blue_w1_mean,Fe_мг_кг,0.0293,0.7757,0.0293
Blue_w1_mean,Mn_мг_кг,0.0355,0.7298,0.0355
Blue_w1_mean,Cu_мг_кг,0.2308,0.0229,0.2308
Blue_w1_mean,Zn_мг_кг,0.2663,0.0084,0.2663
Blue_w1_mean,Co_мг_кг,0.1764,0.2409,0.1764
Blue_w1_std,N_%,,,
Blue_w1_std,P_%,,,
Blue_w1_std,K_%,,,
Blue_w1_std,Ca_%,,,
Blue_w1_std,Mg_%,,,
Blue_w1_std,S_%,,,
Blue_w1_std,Нитраты_мг_кг,,,
Blue_w1_std,Fe_мг_кг,,,
Blue_w1_std,Mn_мг_кг,,,
Blue_w1_std,Cu_мг_кг,,,
Blue_w1_std,Zn_мг_кг,,,
Blue_w1_std,Co_мг_кг,,,
Blue_w1_median,N_%,0.3006,0.0028,0.3006
Blue_w1_median,P_%,0.1159,0.2584,0.1159
Blue_w1_median,K_%,0.1933,0.0579,0.1933
Blue_w1_median,Ca_%,-0.0223,0.8284,0.0223
Blue_w1_median,Mg_%,0.0095,0.9266,0.0095
Blue_w1_median,S_%,0.2047,0.0443,0.2047
Blue_w1_median,Нитраты_мг_кг,0.0571,0.5803,0.0571
Blue_w1_median,Fe_мг_кг,0.0293,0.7757,0.0293
Blue_w1_median,Mn_мг_кг,0.0355,0.7298,0.0355
Blue_w1_median,Cu_мг_кг,0.2308,0.0229,0.2308
Blue_w1_median,Zn_мг_кг,0.2663,0.0084,0.2663
Blue_w1_median,Co_мг_кг,0.1764,0.2409,0.1764
Blue_w1_p25,N_%,0.3006,0.0028,0.3006
Blue_w1_p25,P_%,0.1159,0.2584,0.1159
Blue_w1_p25,K_%,0.1933,0.0579,0.1933
Blue_w1_p25,Ca_%,-0.0223,0.8284,0.0223
Blue_w1_p25,Mg_%,0.0095,0.9266,0.0095
Blue_w1_p25,S_%,0.2047,0.0443,0.2047
Blue_w1_p25,Нитраты_мг_кг,0.0571,0.5803,0.0571
Blue_w1_p25,Fe_мг_кг,0.0293,0.7757,0.0293
Blue_w1_p25,Mn_мг_кг,0.0355,0.7298,0.0355
Blue_w1_p25,Cu_мг_кг,0.2308,0.0229,0.2308
Blue_w1_p25,Zn_мг_кг,0.2663,0.0084,0.2663
Blue_w1_p25,Co_мг_кг,0.1764,0.2409,0.1764
Blue_w1_p75,N_%,0.3006,0.0028,0.3006
Blue_w1_p75,P_%,0.1159,0.2584,0.1159
Blue_w1_p75,K_%,0.1933,0.0579,0.1933
Blue_w1_p75,Ca_%,-0.0223,0.8284,0.0223
Blue_w1_p75,Mg_%,0.0095,0.9266,0.0095
Blue_w1_p75,S_%,0.2047,0.0443,0.2047
Blue_w1_p75,Нитраты_мг_кг,0.0571,0.5803,0.0571
Blue_w1_p75,Fe_мг_кг,0.0293,0.7757,0.0293
Blue_w1_p75,Mn_мг_кг,0.0355,0.7298,0.0355
Blue_w1_p75,Cu_мг_кг,0.2308,0.0229,0.2308
Blue_w1_p75,Zn_мг_кг,0.2663,0.0084,0.2663
Blue_w1_p75,Co_мг_кг,0.1764,0.2409,0.1764
Blue_w1_cv,N_%,,,
Blue_w1_cv,P_%,,,
Blue_w1_cv,K_%,,,
Blue_w1_cv,Ca_%,,,
Blue_w1_cv,Mg_%,,,
Blue_w1_cv,S_%,,,
Blue_w1_cv,Нитраты_мг_кг,,,
