feature,element,pearson_r,p_value,abs_r
Blue_w1_mean,N_%,0.1277,0.2054,0.1277
Blue_w1_mean,P_%,0.1550,0.1237,0.1550
Blue_w1_mean,K_%,0.1579,0.1165,0.1579
Blue_w1_mean,Ca_%,0.2061,0.0397,0.2061
Blue_w1_mean,Mg_%,-0.1449,0.1502,0.1449
Blue_w1_mean,S_%,0.2075,0.0383,0.2075
Blue_w1_mean,Нитраты_мг_кг,0.1194,0.2365,0.1194
Blue_w1_mean,Fe_мг_кг,0.0131,0.8967,0.0131
Blue_w1_mean,Mn_мг_кг,-0.1099,0.2762,0.1099
Blue_w1_mean,Cu_мг_кг,-0.1885,0.0644,0.1885
Blue_w1_mean,Zn_мг_кг,-0.1535,0.1272,0.1535
Blue_w1_mean,Co_мг_кг,-0.0245,0.8515,0.0245
Blue_w1_std,N_%,,,
Blue_w1_std,P_%,,,
Blue_w1_std,K_%,,,
Blue_w1_std,Ca_%,,,
Blue_w1_std,Mg_%,,,
Blue_w1_std,S_%,,,
Blue_w1_std,Нитраты_мг_кг,,,
Blue_w1_std,Fe_мг_кг,,,
Blue_w1_std,Mn_мг_кг,,,
Blue_w1_std,Cu_мг_кг,,,
Blue_w1_std,Zn_мг_кг,,,
Blue_w1_std,Co_мг_кг,,,
Blue_w1_median,N_%,0.1277,0.2054,0.1277
Blue_w1_median,P_%,0.1550,0.1237,0.1550
Blue_w1_median,K_%,0.1579,0.1165,0.1579
Blue_w1_median,Ca_%,0.2061,0.0397,0.2061
Blue_w1_median,Mg_%,-0.1449,0.1502,0.1449
Blue_w1_median,S_%,0.2075,0.0383,0.2075
Blue_w1_median,Нитраты_мг_кг,0.1194,0.2365,0.1194
Blue_w1_median,Fe_мг_кг,0.0131,0.8967,0.0131
Blue_w1_median,Mn_мг_кг,-0.1099,0.2762,0.1099
Blue_w1_median,Cu_мг_кг,-0.1885,0.0644,0.1885
Blue_w1_median,Zn_мг_кг,-0.1535,0.1272,0.1535
Blue_w1_median,Co_мг_кг,-0.0245,0.8515,0.0245
Blue_w1_p25,N_%,0.1277,0.2054,0.1277
Blue_w1_p25,P_%,0.1550,0.1237,0.1550
Blue_w1_p25,K_%,0.1579,0.1165,0.1579
Blue_w1_p25,Ca_%,0.2061,0.0397,0.2061
Blue_w1_p25,Mg_%,-0.1449,0.1502,0.1449
Blue_w1_p25,S_%,0.2075,0.0383,0.2075
Blue_w1_p25,Нитраты_мг_кг,0.1194,0.2365,0.1194
Blue_w1_p25,Fe_мг_кг,0.0131,0.8967,0.0131
Blue_w1_p25,Mn_мг_кг,-0.1099,0.2762,0.1099
Blue_w1_p25,Cu_мг_кг,-0.1885,0.0644,0.1885
Blue_w1_p25,Zn_мг_кг,-0.1535,0.1272,0.1535
Blue_w1_p25,Co_мг_кг,-0.0245,0.8515,0.0245
Blue_w1_p75,N_%,0.1277,0.2054,0.1277
Blue_w1_p75,P_%,0.1550,0.1237,0.1550
Blue_w1_p75,K_%,0.1579,0.1165,0.1579
Blue_w1_p75,Ca_%,0.2061,0.0397,0.2061
Blue_w1_p75,Mg_%,-0.1449,0.1502,0.1449
Blue_w1_p75,S_%,0.2075,0.0383,0.2075
