model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,n_features
PLSR,-2.2979,-3.6720,6.2513,158.5464,91.9566,0.5500,0.6200,100,Fe_мг_кг,date1,49
SVR,0.0658,-0.0825,0.3656,0.5473,0.4291,1.0300,1.4400,97,K_%,date2,49
XGBoost,0.0159,-0.2030,0.3870,0.5617,0.4472,1.0100,1.4100,97,K_%,date2,49
ElasticNet,-0.0185,-0.0754,0.0992,0.7233,0.5833,0.9900,1.4200,100,K_%,date1,49
XGBoost,-0.0196,-0.1739,0.4872,0.7237,0.5919,0.9900,1.4200,100,K_%,date1,49
RF,-0.0403,-0.2416,0.4490,0.5775,0.4575,0.9800,1.3700,97,K_%,date2,49
ElasticNet,-0.0432,-0.1579,0.1894,0.5783,0.4652,0.9800,1.3700,97,K_%,date2,49
RF,-0.0855,-0.1967,0.3319,0.7467,0.6110,0.9600,1.3800,100,K_%,date1,49
GBR,-0.1069,-0.2569,0.5372,0.7540,0.5808,0.9500,1.3600,100,K_%,date1,49
GBR,-0.1099,-0.3280,0.3727,0.5965,0.4703,0.9500,1.3200,97,K_%,date2,49
SVR,-0.1282,-0.2320,0.3179,0.7612,0.6181,0.9400,1.3500,100,K_%,date1,49
PLSR,-0.1574,-0.3146,0.4685,0.7710,0.6389,0.9300,1.3300,100,K_%,date1,49
PLSR,-1.8469,-2.4562,3.7218,0.9554,0.5877,0.5900,0.8300,97,K_%,date2,49
ElasticNet,-0.0211,-0.0663,0.0402,0.1104,0.0845,0.9900,0.9500,100,Mg_%,date1,49
SVR,-0.0663,-0.1238,0.0945,0.1128,0.0874,0.9700,0.9300,100,Mg_%,date1,49
ElasticNet,-0.0719,-0.3078,0.3506,0.0430,0.0357,0.9700,1.3900,97,Mg_%,date2,49
RF,-0.1244,-0.5533,0.6426,0.0441,0.0364,0.9400,1.3600,97,Mg_%,date2,49
RF,-0.1252,-0.1949,0.1367,0.1158,0.0904,0.9400,0.9100,100,Mg_%,date1,49
XGBoost,-0.1712,-0.5827,0.7683,0.0450,0.0360,0.9200,1.3300,97,Mg_%,date2,49
GBR,-0.2327,-0.3211,0.2349,0.1213,0.0941,0.9000,0.8700,100,Mg_%,date1,49
GBR,-0.2806,-0.8035,0.8330,0.0470,0.0385,0.8800,1.2800,97,Mg_%,date2,49
PLSR,-0.3376,-0.3243,0.5003,0.1263,0.0928,0.8600,0.8300,100,Mg_%,date1,49
SVR,-0.4789,-1.1494,1.2075,0.0505,0.0430,0.8200,1.1900,97,Mg_%,date2,49
XGBoost,-0.5177,-0.6600,0.4166,0.1345,0.1067,0.8100,0.7800,100,Mg_%,date1,49
PLSR,-1.1979,-2.5468,3.7848,0.0616,0.0433,0.6700,0.9700,97,Mg_%,date2,49
GBR,0.0550,-0.0465,0.2874,11.5043,9.0264,1.0300,1.3200,97,Mn_мг_кг,date2,49
RF,0.0453,-0.0508,0.3159,11.5633,9.0374,1.0200,1.3100,97,Mn_мг_кг,date2,49
ElasticNet,0.0155,0.0076,0.0720,23.0747,16.7711,1.0100,0.9100,100,Mn_мг_кг,date1,49
SVR,0.0025,-0.0158,0.0350,11.8199,8.4623,1.0000,1.2900,97,Mn_мг_кг,date2,49
ElasticNet,-0.0328,-0.1711,0.5826,12.0271,8.9615,0.9800,1.2600,97,Mn_мг_кг,date2,49
PLSR,-0.0791,-0.0692,0.1897,24.1572,17.8292,0.9600,0.8700,100,Mn_мг_кг,date1,49
XGBoost,-0.1097,-0.1778,0.1607,12.4667,9.8249,0.9500,1.2200,97,Mn_мг_кг,date2,49
SVR,-0.1146,-0.1086,0.0628,24.5513,14.9206,0.9500,0.8500,100,Mn_мг_кг,date1,49
RF,-0.1278,-0.1800,0.1756,24.6963,17.8549,0.9400,0.8500,100,Mn_мг_кг,date1,49
PLSR,-0.2695,-0.3853,0.6551,13.3346,9.3711,0.8900,1.1400,97,Mn_мг_кг,date2,49
GBR,-0.3848,-0.4934,0.3747,27.3665,19.4216,0.8500,0.7600,100,Mn_мг_кг,date1,49
