feature,element,pearson_r,p_value,abs_r
Red_glcm_contrast_mean,N_%,-0.1174,0.2447,0.1174
Red_glcm_contrast_mean,P_%,-0.1643,0.1024,0.1643
Red_glcm_contrast_mean,K_%,-0.1126,0.2647,0.1126
Red_glcm_contrast_mean,Ca_%,0.1670,0.0969,0.1670
Red_glcm_contrast_mean,Mg_%,-0.0573,0.5715,0.0573
Red_glcm_contrast_mean,S_%,-0.0867,0.3912,0.0867
Red_glcm_contrast_mean,Нитраты_мг_кг,-0.0876,0.3861,0.0876
Red_glcm_contrast_mean,Fe_мг_кг,0.1385,0.1694,0.1385
Red_glcm_contrast_mean,Mn_мг_кг,0.0221,0.8274,0.0221
Red_glcm_contrast_mean,Cu_мг_кг,-0.1124,0.2729,0.1124
Red_glcm_contrast_mean,Zn_мг_кг,-0.1249,0.2158,0.1249
Red_glcm_contrast_mean,Co_мг_кг,-0.0905,0.4879,0.0905
Red_glcm_contrast_std,N_%,-0.0635,0.5300,0.0635
Red_glcm_contrast_std,P_%,-0.1162,0.2498,0.1162
Red_glcm_contrast_std,K_%,-0.1035,0.3054,0.1035
Red_glcm_contrast_std,Ca_%,0.2140,0.0325,0.2140
Red_glcm_contrast_std,Mg_%,-0.0090,0.9293,0.0090
Red_glcm_contrast_std,S_%,-0.0458,0.6506,0.0458
Red_glcm_contrast_std,Нитраты_мг_кг,-0.0952,0.3459,0.0952
Red_glcm_contrast_std,Fe_мг_кг,0.1407,0.1626,0.1407
Red_glcm_contrast_std,Mn_мг_кг,0.0573,0.5710,0.0573
Red_glcm_contrast_std,Cu_мг_кг,-0.0605,0.5562,0.0605
Red_glcm_contrast_std,Zn_мг_кг,-0.0619,0.5405,0.0619
Red_glcm_contrast_std,Co_мг_кг,-0.1456,0.2629,0.1456
Red_glcm_dissimilarity_mean,N_%,-0.0709,0.4833,0.0709
Red_glcm_dissimilarity_mean,P_%,-0.1500,0.1362,0.1500
Red_glcm_dissimilarity_mean,K_%,-0.0943,0.3506,0.0943
Red_glcm_dissimilarity_mean,Ca_%,0.1727,0.0857,0.1727
Red_glcm_dissimilarity_mean,Mg_%,-0.0617,0.5420,0.0617
Red_glcm_dissimilarity_mean,S_%,-0.0813,0.4212,0.0813
Red_glcm_dissimilarity_mean,Нитраты_мг_кг,-0.0730,0.4704,0.0730
Red_glcm_dissimilarity_mean,Fe_мг_кг,0.1370,0.1740,0.1370
Red_glcm_dissimilarity_mean,Mn_мг_кг,0.0079,0.9382,0.0079
Red_glcm_dissimilarity_mean,Cu_мг_кг,-0.1313,0.1997,0.1313
Red_glcm_dissimilarity_mean,Zn_мг_кг,-0.1389,0.1681,0.1389
Red_glcm_dissimilarity_mean,Co_мг_кг,-0.0927,0.4772,0.0927
Red_glcm_dissimilarity_std,N_%,0.0097,0.9233,0.0097
Red_glcm_dissimilarity_std,P_%,-0.0825,0.4146,0.0825
Red_glcm_dissimilarity_std,K_%,-0.0840,0.4059,0.0840
Red_glcm_dissimilarity_std,Ca_%,0.2214,0.0269,0.2214
Red_glcm_dissimilarity_std,Mg_%,0.0174,0.8633,0.0174
Red_glcm_dissimilarity_std,S_%,-0.0460,0.6497,0.0460
Red_glcm_dissimilarity_std,Нитраты_мг_кг,-0.1012,0.3165,0.1012
Red_glcm_dissimilarity_std,Fe_мг_кг,0.1261,0.2113,0.1261
Red_glcm_dissimilarity_std,Mn_мг_кг,0.0592,0.5583,0.0592
Red_glcm_dissimilarity_std,Cu_мг_кг,-0.0555,0.5892,0.0555
Red_glcm_dissimilarity_std,Zn_мг_кг,-0.0529,0.6015,0.0529
Red_glcm_dissimilarity_std,Co_мг_кг,-0.1768,0.1729,0.1768
Red_glcm_homogeneity_mean,N_%,0.0555,0.5832,0.0555
Red_glcm_homogeneity_mean,P_%,0.1445,0.1514,0.1445
Red_glcm_homogeneity_mean,K_%,0.0879,0.3847,0.0879
Red_glcm_homogeneity_mean,Ca_%,-0.1735,0.0843,0.1735
Red_glcm_homogeneity_mean,Mg_%,0.0629,0.5342,0.0629
Red_glcm_homogeneity_mean,S_%,0.0792,0.4335,0.0792
Red_glcm_homogeneity_mean,Нитраты_мг_кг,0.0679,0.5023,0.0679
Red_glcm_homogeneity_mean,Fe_мг_кг,-0.1357,0.1783,0.1357
Red_glcm_homogeneity_mean,Mn_мг_кг,-0.0031,0.9755,0.0031
Red_glcm_homogeneity_mean,Cu_мг_кг,0.1368,0.1816,0.1368
Red_glcm_homogeneity_mean,Zn_мг_кг,0.1427,0.1566,0.1427
Red_glcm_homogeneity_mean,Co_мг_кг,0.0931,0.4754,0.0931
Red_glcm_homogeneity_std,N_%,0.0523,0.6051,0.0523
Red_glcm_homogeneity_std,P_%,-0.0577,0.5682,0.0577
Red_glcm_homogeneity_std,K_%,-0.0688,0.4964,0.0688
Red_glcm_homogeneity_std,Ca_%,0.2147,0.0320,0.2147
Red_glcm_homogeneity_std,Mg_%,0.0319,0.7526,0.0319
Red_glcm_homogeneity_std,S_%,-0.0452,0.6549,0.0452
Red_glcm_homogeneity_std,Нитраты_мг_кг,-0.1006,0.3193,0.1006
Red_glcm_homogeneity_std,Fe_мг_кг,0.1099,0.2765,0.1099
Red_glcm_homogeneity_std,Mn_мг_кг,0.0569,0.5739,0.0569
Red_glcm_homogeneity_std,Cu_мг_кг,-0.0500,0.6265,0.0500
Red_glcm_homogeneity_std,Zn_мг_кг,-0.0452,0.6554,0.0452
Red_glcm_homogeneity_std,Co_мг_кг,-0.1902,0.1421,0.1902
Red_glcm_energy_mean,N_%,-0.0057,0.9549,0.0057
Red_glcm_energy_mean,P_%,0.1047,0.2997,0.1047
Red_glcm_energy_mean,K_%,0.0628,0.5350,0.0628
Red_glcm_energy_mean,Ca_%,-0.2061,0.0396,0.2061
Red_glcm_energy_mean,Mg_%,0.0285,0.7783,0.0285
Red_glcm_energy_mean,S_%,0.0637,0.5292,0.0637
Red_glcm_energy_mean,Нитраты_мг_кг,0.0305,0.7636,0.0305
Red_glcm_energy_mean,Fe_мг_кг,-0.1457,0.1482,0.1457
Red_glcm_energy_mean,Mn_мг_кг,0.0271,0.7888,0.0271
Red_glcm_energy_mean,Cu_мг_кг,0.1268,0.2160,0.1268
Red_glcm_energy_mean,Zn_мг_кг,0.1430,0.1559,0.1430
Red_glcm_energy_mean,Co_мг_кг,0.0644,0.6220,0.0644
Red_glcm_energy_std,N_%,0.2261,0.0237,0.2261
Red_glcm_energy_std,P_%,0.1839,0.0670,0.1839
Red_glcm_energy_std,K_%,0.0646,0.5231,0.0646
Red_glcm_energy_std,Ca_%,0.1438,0.1535,0.1438
Red_glcm_energy_std,Mg_%,0.0486,0.6311,0.0486
Red_glcm_energy_std,S_%,0.0501,0.6203,0.0501
Red_glcm_energy_std,Нитраты_мг_кг,-0.0234,0.8176,0.0234
Red_glcm_energy_std,Fe_мг_кг,0.0462,0.6478,0.0462
Red_glcm_energy_std,Mn_мг_кг,0.0089,0.9300,0.0089
Red_glcm_energy_std,Cu_мг_кг,0.0143,0.8897,0.0143
Red_glcm_energy_std,Zn_мг_кг,0.0599,0.5536,0.0599
Red_glcm_energy_std,Co_мг_кг,-0.1898,0.1428,0.1898
Red_glcm_correlation_mean,N_%,0.0096,0.9245,0.0096
Red_glcm_correlation_mean,P_%,-0.0165,0.8704,0.0165
Red_glcm_correlation_mean,K_%,0.0323,0.7494,0.0323
Red_glcm_correlation_mean,Ca_%,0.1722,0.0867,0.1722
Red_glcm_correlation_mean,Mg_%,0.0222,0.8262,0.0222
Red_glcm_correlation_mean,S_%,-0.0012,0.9904,0.0012
Red_glcm_correlation_mean,Нитраты_мг_кг,0.0661,0.5133,0.0661
Red_glcm_correlation_mean,Fe_мг_кг,0.1172,0.2456,0.1172
Red_glcm_correlation_mean,Mn_мг_кг,0.0049,0.9616,0.0049
Red_glcm_correlation_mean,Cu_мг_кг,0.0669,0.5149,0.0669
Red_glcm_correlation_mean,Zn_мг_кг,0.0344,0.7343,0.0344
Red_glcm_correlation_mean,Co_мг_кг,0.1429,0.2720,0.1429
Red_glcm_correlation_std,N_%,0.0351,0.7290,0.0351
Red_glcm_correlation_std,P_%,0.0168,0.8684,0.0168
Red_glcm_correlation_std,K_%,-0.0865,0.3924,0.0865
Red_glcm_correlation_std,Ca_%,0.0316,0.7550,0.0316
Red_glcm_correlation_std,Mg_%,0.1127,0.2644,0.1127
Red_glcm_correlation_std,S_%,0.0002,0.9985,0.0002
Red_glcm_correlation_std,Нитраты_мг_кг,-0.1455,0.1486,0.1455
Red_glcm_correlation_std,Fe_мг_кг,-0.0034,0.9730,0.0034
Red_glcm_correlation_std,Mn_мг_кг,0.1140,0.2588,0.1140
Red_glcm_correlation_std,Cu_мг_кг,0.0080,0.9377,0.0080
Red_glcm_correlation_std,Zn_мг_кг,0.0404,0.6896,0.0404
