n,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,dCor,dCor_p,MI,element,index,date
97,-0.172000,0.092100,-0.233300,0.021500,-0.149800,0.030100,0.266100,0.002800,0.033423,N_%,NDVI,date2
97,-0.198300,0.051500,-0.280000,0.005500,-0.186800,0.006800,0.301800,0.000000,0.070033,N_%,NDRE,date2
97,-0.195900,0.054500,-0.269300,0.007700,-0.176000,0.010800,0.290100,0.000200,0.045878,N_%,GNDVI,date2
97,-0.158900,0.120000,-0.280000,0.005500,-0.186800,0.006800,0.306500,0.000000,0.078805,N_%,CIre,date2
97,-0.147200,0.150200,-0.269300,0.007700,-0.176000,0.010800,0.300000,0.000100,0.088784,N_%,CIgreen,date2
97,-0.172000,0.092100,-0.233300,0.021500,-0.149800,0.030100,0.266100,0.002800,0.033423,N_%,OSAVI,date2
97,-0.109800,0.284200,-0.175000,0.086400,-0.111500,0.106400,0.244900,0.019600,0.050036,N_%,EVI,date2
97,-0.166900,0.102300,-0.233300,0.021500,-0.149800,0.030100,0.269900,0.001800,0.056866,N_%,EVI2,date2
97,-0.084800,0.408700,-0.054600,0.595400,-0.031400,0.649100,0.182100,0.652600,0.015636,N_%,CCCI,date2
97,-0.157700,0.122900,-0.223700,0.027600,-0.158400,0.021800,0.260200,0.042100,0.017067,N_%,MTCI,date2
97,-0.200200,0.049200,-0.223700,0.027600,-0.158400,0.021800,0.261000,0.027200,0.029970,N_%,Datt,date2
97,-0.172000,0.092100,-0.233300,0.021500,-0.149800,0.030100,0.266100,0.002800,0.033423,N_%,SAVI,date2
97,-0.156000,0.127100,-0.233300,0.021500,-0.149800,0.030100,0.273600,0.001200,0.059397,N_%,WDRVI,date2
97,0.124100,0.225900,0.181700,0.074900,0.116200,0.092300,0.231100,0.066400,0.067529,N_%,SIPI,date2
97,0.132100,0.197000,0.192500,0.058900,0.120500,0.080900,0.234800,0.045300,0.009812,N_%,PSRI,date2
97,-0.287300,0.004300,-0.336100,0.000800,-0.226400,0.001000,0.338600,0.000000,0.100501,N_%,ARI,date2
97,0.057100,0.578400,0.018700,0.856100,0.013800,0.841900,0.142600,0.859600,0.000000,N_%,TCARI,date2
97,-0.010600,0.918200,-0.105900,0.302000,-0.060700,0.379400,0.189100,0.426200,0.024686,N_%,MCARI,date2
97,0.265100,0.008700,0.349500,0.000400,0.245800,0.000400,0.350500,0.000000,0.079569,N_%,TCARI_OSAVI,date2
97,0.041800,0.684600,-0.044800,0.662800,-0.022800,0.741100,0.165300,0.701000,0.000000,N_%,MCARI_OSAVI,date2
97,-0.057700,0.574400,-0.233300,0.021500,-0.149800,0.030100,0.282900,0.000700,0.043209,N_%,SR,date2
97,0.007900,0.938800,-0.094800,0.355400,-0.057200,0.407000,0.198300,0.396100,0.003139,N_%,DVI,date2
97,-0.067200,0.513400,-0.145600,0.154700,-0.090400,0.190500,0.214100,0.173100,0.039118,N_%,RDVI,date2
97,-0.135200,0.186700,-0.193600,0.057400,-0.121800,0.077700,0.247900,0.015800,0.006045,N_%,RENDVI,date2
97,-0.193200,0.057900,-0.269900,0.007500,-0.178600,0.009700,0.293500,0.000100,0.078186,N_%,LCI,date2
97,-0.148800,0.145900,-0.139000,0.174500,-0.101600,0.141200,0.223100,0.084900,0.074672,N_%,CVI,date2
97,-0.080900,0.431100,0.040600,0.693300,0.018100,0.793500,0.232600,0.084800,0.102060,N_%,NPCI,date2
97,-0.116300,0.256800,-0.194900,0.055800,-0.122200,0.076700,0.244600,0.022300,0.026698,N_%,NGRDI,date2
97,-0.027700,0.787600,-0.067300,0.512700,-0.038300,0.579000,0.150000,0.748600,0.000000,N_%,TGI,date2
97,-0.150900,0.140200,-0.220700,0.029800,-0.140300,0.042100,0.258100,0.006700,0.064660,N_%,ARVI,date2
97,-0.219900,0.030400,-0.281600,0.005200,-0.186800,0.006800,0.290000,0.000100,0.030572,N_%,BNDVI,date2
