node_a,node_b,partial_corr
N_%,K_%,0.0444
N_%,Ca_%,0.0379
N_%,Mg_%,0.0497
N_%,S_%,0.1888
N_%,Нитраты_мг_кг,0.2282
N_%,BGI,0.0257
N_%,TCARI,-0.0641
P_%,K_%,0.3476
P_%,S_%,0.1083
P_%,Mn_мг_кг,-0.0409
P_%,Zn_мг_кг,0.0563
P_%,MCARI_OSAVI,0.0267
K_%,Mg_%,-0.0519
K_%,S_%,0.3198
K_%,Нитраты_мг_кг,0.3007
Ca_%,Mg_%,0.1438
Ca_%,Нитраты_мг_кг,-0.0007
Ca_%,Fe_мг_кг,0.0450
Ca_%,BNDVI,-0.0346
Ca_%,BGI,0.0285
Ca_%,TCARI,-0.1049
Ca_%,MSAVI2,-0.0097
Mg_%,Fe_мг_кг,0.2888
Mg_%,Mn_мг_кг,0.1120
Mg_%,Cu_мг_кг,0.0549
Mg_%,Zn_мг_кг,0.2465
S_%,Нитраты_мг_кг,0.0491
S_%,Mn_мг_кг,-0.0046
S_%,Co_мг_кг,0.0165
S_%,SRPI,0.0066
Нитраты_мг_кг,SRPI,0.0399
Fe_мг_кг,Zn_мг_кг,0.0126
Fe_мг_кг,MTCI,-0.0084
Mn_мг_кг,Cu_мг_кг,0.1405
Mn_мг_кг,Zn_мг_кг,0.3136
Mn_мг_кг,Datt,0.0485
Mn_мг_кг,CVI,0.0788
Mn_мг_кг,MTCI,0.0211
Cu_мг_кг,Zn_мг_кг,0.4211
Cu_мг_кг,Co_мг_кг,0.2233
Cu_мг_кг,SR,0.0182
Cu_мг_кг,MCARI,0.0086
Co_мг_кг,MCARI_OSAVI,0.0465
Co_мг_кг,MCARI,0.0260
TCARI_OSAVI,Datt,-0.3125
TCARI_OSAVI,CCCI,-0.0331
TCARI_OSAVI,MTCI,-0.2051
TCARI_OSAVI,ARI,-0.1177
TCARI_OSAVI,CRI700,-0.0814
Datt,CCCI,0.2247
Datt,CVI,0.0822
Datt,MTCI,0.5234
Datt,NDRE,0.0028
CCCI,MTCI,0.2099
CCCI,MCARI_OSAVI,-0.1762
CCCI,BGI,0.0256
CCCI,TCARI,-0.3875
CVI,MTCI,0.0167
CVI,BNDVI,0.0605
CVI,ARI,0.1575
CVI,GNDVI,0.0968
CVI,NDRE,0.0603
MTCI,SRPI,0.0224
MTCI,SR,0.0537
MTCI,NDRE,0.0343
SRPI,NPCI,-0.6551
SRPI,SR,0.0479
SRPI,NDRE,0.0386
SRPI,LCI,0.0257
SRPI,VARI,0.0805
NPCI,NDRE,-0.0472
NPCI,LCI,-0.0394
NPCI,VARI,-0.1140
MCARI_OSAVI,SR,0.1031
MCARI_OSAVI,BGI,-0.1376
MCARI_OSAVI,MCARI,0.3699
MCARI_OSAVI,CRI700,0.0506
MCARI_OSAVI,VARI,0.0714
SR,ARI,0.0555
SR,GNDVI,0.0186
SR,NDRE,0.0558
SR,MCARI,0.2311
SR,LCI,0.0811
SR,CRI700,0.1824
SR,VARI,0.1281
BNDVI,ARI,0.0883
BNDVI,BGI,-0.2002
BNDVI,GNDVI,0.1465
BNDVI,NDRE,0.1096
BNDVI,TCARI,0.1145
BNDVI,LCI,0.1107
BNDVI,CRI700,0.0377
BNDVI,VARI,0.0593
BNDVI,MSAVI2,0.1557
ARI,BGI,-0.0315
ARI,GNDVI,0.1280
ARI,NDRE,0.1161
ARI,LCI,0.1246
ARI,CRI700,0.2431
ARI,MSAVI2,0.0489
BGI,GNDVI,-0.0964
BGI,MCARI,-0.1171
BGI,TCARI,-0.0389
BGI,LCI,-0.0254
BGI,CRI700,-0.1522
BGI,VARI,-0.0675
BGI,MSAVI2,-0.0796
GNDVI,NDRE,0.1558
GNDVI,TCARI,0.0248
GNDVI,LCI,0.1499
GNDVI,CRI700,0.0539
GNDVI,VARI,0.0809
GNDVI,MSAVI2,0.1459
NDRE,LCI,0.2086
NDRE,VARI,0.0961
NDRE,MSAVI2,0.1446
MCARI,CRI700,0.1997
MCARI,VARI,0.1154
TCARI,VARI,0.0712
TCARI,MSAVI2,0.2418
LCI,CRI700,0.0205
LCI,VARI,0.1259
LCI,MSAVI2,0.1291
CRI700,VARI,0.0029
VARI,MSAVI2,0.0945
