index,date1 | Ca,date1 | Co,date1 | Cu,date1 | Fe,date1 | K,date1 | Mg,date1 | Mn,date1 | N,date1 | NO₃,date1 | P,date1 | S,date1 | Zn,date2 | Ca,date2 | Co,date2 | Cu,date2 | Fe,date2 | K,date2 | Mg,date2 | Mn,date2 | N,date2 | NO₃,date2 | P,date2 | S,date2 | Zn
RGRI,0.3081,-0.0963,-0.0679,-0.0067,-0.0623,-0.0310,0.0087,0.1233,-0.0146,-0.0590,0.0462,-0.0425,-0.0827,0.0668,0.1675,0.1471,-0.0224,0.0170,0.0645,0.1222,0.1333,-0.0679,0.0726,0.1460
NGRDI,-0.3081,0.0963,0.0679,0.0067,0.0623,0.0310,-0.0087,-0.1233,0.0146,0.0590,-0.0462,0.0425,0.0827,-0.0668,-0.1675,-0.1471,0.0224,-0.0170,-0.0645,-0.1222,-0.1333,0.0679,-0.0726,-0.1460
PSRI,0.3077,-0.1039,-0.0653,-0.0063,-0.0660,-0.0265,0.0067,0.1245,-0.0166,-0.0557,0.0474,-0.0445,-0.0858,0.0610,0.1658,0.1446,-0.0215,0.0170,0.0645,0.1205,0.1359,-0.0639,0.0735,0.1469
GRNDVI,-0.3064,0.1007,0.0597,0.0018,0.0134,0.0047,0.0706,-0.1610,-0.0292,-0.0039,-0.0927,0.0417,0.0664,-0.1016,-0.2109,-0.1493,-0.0362,-0.0041,-0.0185,-0.1592,-0.1584,0.0134,-0.0953,-0.1779
RTVIcore,-0.3048,0.0952,0.0572,-0.0026,0.0218,-0.0099,0.0580,-0.1662,-0.0369,0.0158,-0.0823,0.0470,0.0532,-0.1229,-0.1782,-0.1003,0.0086,-0.0209,-0.0086,-0.0796,-0.1064,0.0749,-0.0677,-0.0840
BGI,0.3044,-0.0799,-0.0623,0.0164,0.0024,0.0941,-0.0423,0.2124,0.0620,-0.0055,0.1360,0.0134,-0.0400,0.0803,0.1907,0.1849,0.0034,0.0710,0.0413,0.1704,0.1791,-0.0600,0.1117,0.1749
TCARI_OSAVI,-0.0086,-0.0317,0.0202,0.0172,0.2124,-0.1532,-0.2599,0.0707,0.1075,0.2192,0.1118,0.0219,-0.0541,-0.0378,0.1705,0.1111,0.2137,-0.1094,-0.1747,0.2458,0.1791,0.2343,0.1597,0.3037
EVI,-0.3032,0.1204,0.0662,0.0164,0.0433,0.0492,0.0382,-0.1310,0.0053,0.0318,-0.0524,0.0559,0.1016,-0.0939,-0.1748,-0.1295,0.0022,0.0166,-0.0542,-0.1115,-0.1289,0.0323,-0.0740,-0.1378
SIPI,0.3032,-0.1149,-0.0628,-0.0168,-0.0413,-0.0391,-0.0386,0.1338,0.0000,-0.0257,0.0586,-0.0506,-0.0977,0.0920,0.1761,0.1342,-0.0017,-0.0110,0.0529,0.1162,0.1262,-0.0332,0.0731,0.1404
BNDVI,-0.3019,0.0886,0.0580,-0.0087,-0.0065,-0.0391,0.0738,-0.1828,-0.0523,-0.0166,-0.1168,0.0162,0.0418,-0.0862,-0.2216,-0.1553,-0.0431,-0.0308,-0.0030,-0.1868,-0.1861,0.0112,-0.1175,-0.1938
TGI,-0.3015,0.0842,0.0885,0.0119,0.0939,-0.0464,-0.0552,-0.1419,0.0182,0.1071,-0.0470,0.0425,0.0660,-0.0881,-0.1266,-0.1055,0.1164,-0.0869,-0.1235,-0.0383,-0.0676,0.1851,-0.0064,-0.0353
