,Blue_w1_mean,Blue_w1_std,Blue_w1_median,Blue_w1_p25,Blue_w1_p75,Blue_w1_cv,Blue_w1_range,Green_w1_mean,Green_w1_std,Green_w1_median,Green_w1_p25,Green_w1_p75,Green_w1_cv,Green_w1_range,Red_w1_mean,Red_w1_std,Red_w1_median,Red_w1_p25,Red_w1_p75,Red_w1_cv,Red_w1_range,RedEdge_w1_mean,RedEdge_w1_std,RedEdge_w1_median,RedEdge_w1_p25,RedEdge_w1_p75,RedEdge_w1_cv,RedEdge_w1_range,NIR_w1_mean,NIR_w1_std,NIR_w1_median,NIR_w1_p25,NIR_w1_p75,NIR_w1_cv,NIR_w1_range,Blue_w3_mean,Blue_w3_std,Blue_w3_median,Blue_w3_p25,Blue_w3_p75,Blue_w3_cv,Blue_w3_range,Green_w3_mean,Green_w3_std,Green_w3_median,Green_w3_p25,Green_w3_p75,Green_w3_cv,Green_w3_range,Red_w3_mean,Red_w3_std,Red_w3_median,Red_w3_p25,Red_w3_p75,Red_w3_cv,Red_w3_range,RedEdge_w3_mean,RedEdge_w3_std,RedEdge_w3_median,RedEdge_w3_p25,RedEdge_w3_p75,RedEdge_w3_cv,RedEdge_w3_range,NIR_w3_mean,NIR_w3_std,NIR_w3_median,NIR_w3_p25,NIR_w3_p75,NIR_w3_cv,NIR_w3_range,Blue_w5_mean,Blue_w5_std,Blue_w5_median,Blue_w5_p25,Blue_w5_p75,Blue_w5_cv,Blue_w5_range,Green_w5_mean,Green_w5_std,Green_w5_median,Green_w5_p25,Green_w5_p75,Green_w5_cv,Green_w5_range,Red_w5_mean,Red_w5_std,Red_w5_median,Red_w5_p25,Red_w5_p75,Red_w5_cv,Red_w5_range,RedEdge_w5_mean,RedEdge_w5_std,RedEdge_w5_median,RedEdge_w5_p25,RedEdge_w5_p75,RedEdge_w5_cv,RedEdge_w5_range,NIR_w5_mean,NIR_w5_std,NIR_w5_median,NIR_w5_p25,NIR_w5_p75,NIR_w5_cv,NIR_w5_range,Blue_w7_mean,Blue_w7_std,Blue_w7_median,Blue_w7_p25,Blue_w7_p75,Blue_w7_cv,Blue_w7_range,Green_w7_mean,Green_w7_std,Green_w7_median,Green_w7_p25,Green_w7_p75,Green_w7_cv,Green_w7_range,Red_w7_mean,Red_w7_std,Red_w7_median,Red_w7_p25,Red_w7_p75,Red_w7_cv,Red_w7_range,RedEdge_w7_mean,RedEdge_w7_std,RedEdge_w7_median,RedEdge_w7_p25,RedEdge_w7_p75,RedEdge_w7_cv,RedEdge_w7_range,NIR_w7_mean,NIR_w7_std,NIR_w7_median,NIR_w7_p25,NIR_w7_p75,NIR_w7_cv,NIR_w7_range
1,0.017068,0.000000,0.017068,0.017068,0.017068,0.000000,0.000000,0.035292,0.000000,0.035292,0.035292,0.035292,0.000000,0.000000,0.026310,0.000000,0.026310,0.026310,0.026310,0.000000,0.000000,0.063208,0.000000,0.063208,0.063208,0.063208,0.000000,0.000000,0.109052,0.000000,0.109052,0.109052,0.109052,0.000000,0.000000,0.016584,0.001915,0.016593,0.015336,0.017420,0.115468,0.006818,0.035621,0.003007,0.034984,0.034060,0.036047,0.084403,0.010367,0.026095,0.001896,0.025514,0.024795,0.026493,0.072668,0.005602,0.063180,0.006462,0.063208,0.059053,0.065028,0.102276,0.022391,0.107503,0.013305,0.111698,0.094077,0.114082,0.123764,0.044678,0.016700,0.002414,0.016593,0.014494,0.018385,0.144519,0.007569,0.035438,0.003789,0.034984,0.032997,0.037911,0.106915,0.015881,0.025497,0.003174,0.024902,0.023662,0.027243,0.124487,0.011035,0.062205,0.006430,0.063145,0.059287,0.065028,0.103371,0.030716,0.107796,0.012312,0.109052,0.094652,0.115561,0.114216,0.047505,0.017084,0.002980,0.017068,0.014662,0.019795,0.174424,0.012012,0.036413,0.004935,0.035292,0.032997,0.039636,0.135516,0.020209,0.025386,0.003705,0.024917,0.022652,0.027488,0.145954,0.017586,0.064321,0.008406,0.064110,0.059053,0.070412,0.130690,0.041530,0.110541,0.016218,0.111271,0.099386,0.119342,0.146712,0.079280
2,0.022905,0.000000,0.022905,0.022905,0.022905,0.000000,0.000000,0.037618,0.000000,0.037618,0.037618,0.037618,0.000000,0.000000,0.040758,0.000000,0.040758,0.040758,0.040758,0.000000,0.000000,0.065013,0.000000,0.065013,0.065013,0.065013,0.000000,0.000000,0.096542,0.000000,0.096542,0.096542,0.096542,0.000000,0.000000,0.020527,0.005931,0.020270,0.014723,0.024682,0.288936,0.018109,0.034416,0.006406,0.034707,0.029531,0.037341,0.186121,0.023105,0.033525,0.005687,0.034467,0.032937,0.035524,0.169623,0.019530,0.060927,0.006587,0.063955,0.054727,0.065013,0.108115,0.021660,0.098440,0.005745,0.097693,0.096542,0.103940,0.058362,0.017605,0.018948,0.004854,0.018416,0.014723,0.021664,0.256190,0.019412,0.035016,0.005564,0.034707,0.031903,0.037618,0.158899,0.023398,0.030634,0.006457,0.032493,0.027351,0.035524,0.210788,0.024090,0.061817,0.006117,0.063955,0.059598,0.065262,0.098946,0.021660,0.107912,0.014284,0.105123,0.097693,0.115824,0.132366,0.058700,0.019180,0.004352,0.018707,0.016976,0.021664,0.226926,0.020484,0.038322,0.006354,0.038512,0.033167,0.043210,0.165808,0.024599,0.030303,0.005860,0.030289,0.027106,0.035095,0.193379,0.024090,0.068042,0.009721,0.067922,0.063597,0.076169,0.142863,0.041514,0.118077,0.018580,0.117665,0.103940,0.131654,0.157351,0.074940
3,0.025954,0.000000,0.025954,0.025954,0.025954,0.000000,0.000000,0.050850,0.000000,0.050850,0.050850,0.050850,0.000000,0.000000,0.036886,0.000000,0.036886,0.036886,0.036886,0.000000,0.000000,0.082611,0.000000,0.082611,0.082611,0.082611,0.000000,0.000000,0.124783,0.000000,0.124783,0.124783,0.124783,0.000000,0.000000,0.029144,0.004050,0.029876,0.026076,0.033001,0.138982,0.013084,0.051406,0.006776,0.053684,0.046660,0.055856,0.131816,0.022674,0.040540,0.004851,0.038738,0.036886,0.043268,0.119653,0.016683,0.082585,0.011541,0.085801,0.077476,0.092632,0.139749,0.038324,0.120282,0.016623,0.121873,0.108444,0.127166,0.138197,0.055905,0.030177,0.004188,0.031730,0.026076,0.033001,0.138796,0.015520,0.050454,0.006128,0.051512,0.046660,0.054732,0.121449,0.023398,0.043643,0.006433,0.045059,0.037192,0.049115,0.147390,0.022284,0.081506,0.009563,0.083731,0.076356,0.086517,0.117324,0.038324,0.110607,0.018467,0.114904,0.097266,0.121873,0.166961,0.071291,0.030095,0.005861,0.029876,0.025739,0.032680,0.194747,0.031316,0.049899,0.006547,0.050064,0.046475,0.053561,0.131199,0.035135,0.045390,0.009792,0.045059,0.037682,0.049941,0.215720,0.052222,0.080374,0.009116,0.082035,0.074504,0.085801,0.113425,0.043148,0.105858,0.017967,0.107638,0.093797,0.118503,0.169727,0.085066
4,0.023885,0.000000,0.023885,0.023885,0.023885,0.000000,0.000000,0.045520,0.000000,0.045520,0.045520,0.045520,0.000000,0.000000,0.036243,0.000000,0.036243,0.036243,0.036243,0.000000,0.000000,0.075096,0.000000,0.075096,0.075096,0.075096,0.000000,0.000000,0.114460,0.000000,0.114460,0.114460,0.114460,0.000000,0.000000,0.023494,0.002603,0.023885,0.021158,0.025816,0.110799,0.007538,0.044250,0.004748,0.045813,0.040452,0.047615,0.107310,0.014171,0.034728,0.003501,0.035110,0.030809,0.038324,0.100800,0.009520,0.075830,0.008705,0.077959,0.070412,0.081164,0.114793,0.027479,0.105242,0.011715,0.106833,0.098614,0.115084,0.111316,0.033435,0.022807,0.003566,0.023793,0.020132,0.025816,0.156348,0.012946,0.041665,0.005882,0.043179,0.036494,0.046059,0.141171,0.019100,0.033980,0.005780,0.033274,0.029723,0.038355,0.170085,0.018810,0.069679,0.010276,0.070894,0.061683,0.077959,0.147469,0.037842,0.097890,0.015417,0.098614,0.088948,0.112947,0.157498,0.055100,0.021912,0.003697,0.021419,0.018676,0.025387,0.168700,0.012962,0.039651,0.006035,0.040160,0.034383,0.045320,0.152198,0.022320,0.033015,0.006236,0.030978,0.027657,0.038355,0.188876,0.021519,0.065916,0.010669,0.065044,0.057326,0.074520,0.161856,0.042915,0.093921,0.016138,0.094701,0.080581,0.105813,0.171830,0.059900
5,0.021924,0.000000,0.021924,0.021924,0.021924,0.000000,0.000000,0.039913,0.000000,0.039913,0.039913,0.039913,0.000000,0.000000,0.033197,0.000000,0.033197,0.033197,0.033197,0.000000,0.000000,0.071392,0.000000,0.071392,0.071392,0.071392,0.000000,0.000000,0.110646,0.000000,0.110646,0.110646,0.110646,0.000000,0.000000,0.022289,0.002609,0.021924,0.020392,0.024360,0.117052,0.008457,0.039374,0.003019,0.039913,0.037741,0.041515,0.076665,0.009889,0.032223,0.003802,0.033197,0.030549,0.034590,0.117979,0.012428,0.066280,0.005270,0.068576,0.065277,0.069634,0.079513,0.015840,0.101269,0.011276,0.101770,0.090345,0.110646,0.111348,0.030377,0.023040,0.003163,0.022583,0.020392,0.026199,0.137292,0.009821,0.038354,0.004535,0.039898,0.035123,0.041777,0.118239,0.016590,0.032750,0.005204,0.032447,0.029325,0.035860,0.158908,0.021856,0.063211,0.006649,0.065277,0.057855,0.069152,0.105182,0.025550,0.098127,0.013737,0.095408,0.088619,0.110646,0.139997,0.053439,0.023575,0.003305,0.023303,0.020882,0.026260,0.140193,0.012042,0.038469,0.005572,0.038003,0.034291,0.042270,0.144853,0.026509,0.034624,0.006825,0.033197,0.029677,0.037988,0.197119,0.031911,0.061944,0.008508,0.063099,0.056564,0.068747,0.137344,0.035228,0.092899,0.017735,0.093584,0.082702,0.102197,0.190905,0.081351
6,0.022384,0.000000,0.022384,0.022384,0.022384,0.000000,0.000000,0.040961,0.000000,0.040961,0.040961,0.040961,0.000000,0.000000,0.029264,0.000000,0.029264,0.029264,0.029264,0.000000,0.000000,0.072995,0.000000,0.072995,0.072995,0.072995,0.000000,0.000000,0.114443,0.000000,0.114443,0.114443,0.114443,0.000000,0.000000,0.021221,0.002088,0.021480,0.019320,0.022384,0.098399,0.006496,0.040778,0.004391,0.040961,0.036663,0.043210,0.107686,0.013293,0.028684,0.002679,0.029003,0.026662,0.029264,0.093396,0.009903,0.070037,0.004329,0.068358,0.066802,0.072995,0.061806,0.013210,0.111103,0.010771,0.110301,0.104186,0.117123,0.096948,0.032613,0.021311,0.002025,0.021480,0.019917,0.022292,0.095016,0.008963,0.040709,0.005040,0.040714,0.036879,0.043626,0.123796,0.019794,0.027671,0.002714,0.028452,0.026095,0.029141,0.098080,0.012030,0.069706,0.009002,0.069089,0.064390,0.073368,0.129140,0.042572,0.109269,0.019358,0.110005,0.096608,0.117123,0.177161,0.096178,0.021590,0.002355,0.021480,0.019917,0.022966,0.109062,0.010296,0.040497,0.004885,0.040160,0.036771,0.044165,0.120638,0.019794,0.028063,0.002956,0.028452,0.026172,0.029141,0.105330,0.012765,0.068841,0.009793,0.068078,0.062399,0.074660,0.142250,0.043101,0.107466,0.024436,0.105402,0.088850,0.117123,0.227380,0.115147
7,0.017466,0.000000,0.017466,0.017466,0.017466,0.000000,0.000000,0.039035,0.000000,0.039035,0.039035,0.039035,0.000000,0.000000,0.018458,0.000000,0.018458,0.018458,0.018458,0.000000,0.000000,0.070754,0.000000,0.070754,0.070754,0.070754,0.000000,0.000000,0.140218,0.000000,0.140218,0.140218,0.140218,0.000000,0.000000,0.019740,0.002130,0.020454,0.017466,0.021220,0.107890,0.006374,0.043843,0.003900,0.043056,0.040529,0.045659,0.088963,0.012215,0.023320,0.004296,0.022468,0.020310,0.025039,0.184217,0.014066,0.079812,0.009505,0.076403,0.071921,0.087528,0.119088,0.027821,0.140519,0.019172,0.135944,0.126640,0.155932,0.136439,0.061905,0.022081,0.004278,0.021694,0.017956,0.024866,0.193723,0.015995,0.044080,0.005887,0.043287,0.040252,0.046968,0.133547,0.023521,0.027217,0.007417,0.027351,0.020356,0.031973,0.272517,0.028973,0.078124,0.011683,0.076403,0.069245,0.083482,0.149547,0.043770,0.134223,0.024213,0.131703,0.117879,0.148963,0.180394,0.098512,0.022798,0.005423,0.022123,0.018446,0.025877,0.237885,0.022277,0.043931,0.006479,0.043056,0.039035,0.048786,0.147488,0.025062,0.029372,0.009291,0.028713,0.020892,0.033886,0.316325,0.034712,0.076215,0.011876,0.074738,0.067720,0.083482,0.155824,0.050383,0.127241,0.024603,0.123829,0.110038,0.143094,0.193356,0.106813
8,0.023211,0.000000,0.023211,0.023211,0.023211,0.000000,0.000000,0.040838,0.000000,0.040838,0.040838,0.040838,0.000000,0.000000,0.038263,0.000000,0.038263,0.038263,0.038263,0.000000,0.000000,0.061838,0.000000,0.061838,0.061838,0.061838,0.000000,0.000000,0.082537,0.000000,0.082537,0.082537,0.082537,0.000000,0.000000,0.022702,0.002343,0.023119,0.022568,0.023426,0.103190,0.008702,0.040728,0.004933,0.039667,0.038419,0.043934,0.121112,0.016359,0.036641,0.003995,0.037131,0.034942,0.038983,0.109030,0.013576,0.064077,0.005586,0.065402,0.060251,0.065635,0.087175,0.020679,0.084556,0.012371,0.082537,0.076488,0.097266,0.146311,0.036032,0.022171,0.002969,0.022568,0.020116,0.023472,0.133894,0.012180,0.039099,0.005446,0.038034,0.035200,0.043148,0.139285,0.020410,0.035759,0.004153,0.036595,0.033396,0.039151,0.116143,0.014203,0.064661,0.006233,0.065619,0.061683,0.068078,0.096390,0.027930,0.086337,0.015631,0.084576,0.076488,0.098959,0.181044,0.059735,0.022738,0.003987,0.022890,0.019871,0.025892,0.175335,0.018416,0.039894,0.006399,0.039405,0.035200,0.044350,0.160403,0.026063,0.036633,0.006460,0.037131,0.033396,0.040421,0.176352,0.028927,0.065978,0.008824,0.065635,0.060438,0.071206,0.133740,0.034590,0.089622,0.018152,0.088669,0.078444,0.102115,0.202536,0.073379
9,0.025157,0.000000,0.025157,0.025157,0.025157,0.000000,0.000000,0.041438,0.000000,0.041438,0.041438,0.041438,0.000000,0.000000,0.042288,0.000000,0.042288,0.042288,0.042288,0.000000,0.000000,0.066040,0.000000,0.066040,0.066040,0.066040,0.000000,0.000000,0.078740,0.000000,0.078740,0.078740,0.078740,0.000000,0.000000,0.022930,0.002782,0.023196,0.022721,0.025157,0.121307,0.008151,0.040454,0.005194,0.041423,0.035523,0.046167,0.128382,0.014002,0.040083,0.004824,0.041661,0.039074,0.042288,0.120348,0.017127,0.067357,0.009085,0.066040,0.062445,0.073524,0.134876,0.027277,0.083907,0.019045,0.078740,0.068023,0.094192,0.226979,0.056333,0.023221,0.003501,0.022721,0.020775,0.025739,0.150783,0.013820,0.041346,0.005329,0.041423,0.036817,0.045674,0.128891,0.020363,0.039975,0.005049,0.039365,0.035722,0.042885,0.126300,0.019009,0.069729,0.009296,0.068125,0.062445,0.078970,0.133322,0.030669,0.088309,0.018478,0.085562,0.077376,0.097249,0.209242,0.064946,0.023284,0.003497,0.023073,0.020775,0.024774,0.150173,0.015122,0.041559,0.005804,0.041438,0.036925,0.045674,0.139663,0.024522,0.039873,0.005280,0.039289,0.036595,0.042885,0.132419,0.021642,0.069874,0.009959,0.071346,0.063923,0.078970,0.142535,0.038356,0.088765,0.018172,0.088241,0.077376,0.102608,0.204716,0.072655
10,0.021909,0.000000,0.021909,0.021909,0.021909,0.000000,0.000000,0.037156,0.000000,0.037156,0.037156,0.037156,0.000000,0.000000,0.031131,0.000000,0.031131,0.031131,0.031131,0.000000,0.000000,0.047228,0.000000,0.047228,0.047228,0.047228,0.000000,0.000000,0.049843,0.000000,0.049843,0.049843,0.049843,0.000000,0.000000,0.019296,0.002959,0.018462,0.017543,0.021465,0.153373,0.010403,0.031363,0.005152,0.031826,0.027390,0.034722,0.164277,0.016482,0.029510,0.004365,0.029447,0.027060,0.031131,0.147917,0.015168,0.044498,0.006311,0.047103,0.041859,0.048223,0.141827,0.019186,0.045050,0.008421,0.049234,0.041163,0.049843,0.186921,0.029227,0.019214,0.003340,0.019366,0.017543,0.021465,0.173814,0.013222,0.029929,0.005074,0.030702,0.027159,0.033536,0.169529,0.019455,0.029586,0.005247,0.031100,0.027060,0.031881,0.177358,0.023570,0.044422,0.006833,0.044800,0.040786,0.049297,0.153817,0.026654,0.043083,0.011393,0.043843,0.035196,0.050582,0.264452,0.043215,0.019611,0.003587,0.019657,0.017543,0.021465,0.182916,0.016102,0.031744,0.005074,0.031826,0.028823,0.034368,0.159833,0.026448,0.030487,0.006428,0.031131,0.026708,0.033320,0.210840,0.031131,0.046908,0.006586,0.048223,0.042715,0.052145,0.140404,0.031618,0.046858,0.011886,0.048018,0.038500,0.055103,0.253669,0.048278
